,character,quote,scene,location,view,episode,date,series,file
0,DATA,"       We have arrived at Tanuga Four,   Captain. The away team has   completed its survey of Doctor   Apgar's work and is ready to   return to the ship.",1    INT. HOLODECK/ART CLASS,HOLODECK/ART CLASS,INT.,A Matter of Perspective,1989-11-27,The Next Generation,162.txt
1,PICARD,    (putting aside     paintbrush)   Good.,1    INT. HOLODECK/ART CLASS,HOLODECK/ART CLASS,INT.,A Matter of Perspective,1989-11-27,The Next Generation,162.txt
2,PICARD ,       Please... and examine the work   of the other students as well.,1    INT. HOLODECK/ART CLASS,HOLODECK/ART CLASS,INT.,A Matter of Perspective,1989-11-27,The Next Generation,162.txt
3,DATA,   Ensign Williams' striking style   is heavily influenced by geometric   constructivism.,1    INT. HOLODECK/ART CLASS,HOLODECK/ART CLASS,INT.,A Matter of Perspective,1989-11-27,The Next Generation,162.txt
4,DATA,   Lieutenant Wright has effectively   fused the incongruities of the   surrealists with the irrationality   of Dadaism.,1    INT. HOLODECK/ART CLASS,HOLODECK/ART CLASS,INT.,A Matter of Perspective,1989-11-27,The Next Generation,162.txt
5,DATA,   Interesting.,1    INT. HOLODECK/ART CLASS,HOLODECK/ART CLASS,INT.,A Matter of Perspective,1989-11-27,The Next Generation,162.txt
6,PICARD,   How so?,1    INT. HOLODECK/ART CLASS,HOLODECK/ART CLASS,INT.,A Matter of Perspective,1989-11-27,The Next Generation,162.txt
7,DATA,"   While suggesting the free   treatment of form usually   attributed to Fauvism, this quite   inappropriately attempts to   juxtapose the disparate cubistic   styles of Picasso and Leger. In   addition, the use of color   suggests a haphazard melange of   clashing styles.     ",1    INT. HOLODECK/ART CLASS,HOLODECK/ART CLASS,INT.,A Matter of Perspective,1989-11-27,The Next Generation,162.txt
8,DATA ,"   Furthermore, the unsettling   overtones of proto-Vulcan   influences...",1    INT. HOLODECK/ART CLASS,HOLODECK/ART CLASS,INT.,A Matter of Perspective,1989-11-27,The Next Generation,162.txt
9,PICARD,       Thank you... Mister Data.,1    INT. HOLODECK/ART CLASS,HOLODECK/ART CLASS,INT.,A Matter of Perspective,1989-11-27,The Next Generation,162.txt
10,DATA,"   You are welcome, sir. If I may   be of any further assistance --",1    INT. HOLODECK/ART CLASS,HOLODECK/ART CLASS,INT.,A Matter of Perspective,1989-11-27,The Next Generation,162.txt
11,PICARD,   No... thank you.,1    INT. HOLODECK/ART CLASS,HOLODECK/ART CLASS,INT.,A Matter of Perspective,1989-11-27,The Next Generation,162.txt
12,PICARD ,"   Captain's log, Stardate 43610.4.   After completing a delivery of   dicosilium to the Tanuga Four   research station, our away team   is receiving an update from   Doctor Nel Apgar on his efforts   to create Krieger Waves, a   potentially valuable new power   source.",7    EXT. SPACE - ENTERPRISE AND SPACE STATION (OPTICAL),SPACE - ENTERPRISE AND SPACE STATION,EXT.,A Matter of Perspective,1989-11-27,The Next Generation,162.txt
13,PICARD,"   Welcome back, Mister La Forge.   Where's Commander Riker?",8    INT. MAIN BRIDGE,MAIN BRIDGE,INT.,A Matter of Perspective,1989-11-27,The Next Generation,162.txt
14,GEORDI,"   Still on the station, sir. Doctor   Apgar wanted a word with him.",8    INT. MAIN BRIDGE,MAIN BRIDGE,INT.,A Matter of Perspective,1989-11-27,The Next Generation,162.txt
15,PICARD,   Any problems... ?,8    INT. MAIN BRIDGE,MAIN BRIDGE,INT.,A Matter of Perspective,1989-11-27,The Next Generation,162.txt
16,GEORDI,"   Not... with the scientific part   of the mission, sir...",8    INT. MAIN BRIDGE,MAIN BRIDGE,INT.,A Matter of Perspective,1989-11-27,The Next Generation,162.txt
17,RIKER,       Riker to Enterprise. I'm ready   to leave now.,8    INT. MAIN BRIDGE,MAIN BRIDGE,INT.,A Matter of Perspective,1989-11-27,The Next Generation,162.txt
18,GEORDI,"   I'm sure Commander Riker will   explain, sir...",8    INT. MAIN BRIDGE,MAIN BRIDGE,INT.,A Matter of Perspective,1989-11-27,The Next Generation,162.txt
19,O'BRIEN,"   Stand by, Commander. Engaging   transport.",9    INT. TRANSPORTER ROOM,TRANSPORTER ROOM,INT.,A Matter of Perspective,1989-11-27,The Next Generation,162.txt
20,O'BRIEN,       Transporter Room to Engineering.   I have a power drain...,9    INT. TRANSPORTER ROOM,TRANSPORTER ROOM,INT.,A Matter of Perspective,1989-11-27,The Next Generation,162.txt
