,character,quote,scene,location,view,episode,date,series,file
0,PICARD ,"   Captain's Log, Stardate 46915.2.   The Enterprise is orbiting Nervala   Four, waiting for an opportunity   to retrieve scientific data left   there by Starfleet researchers   when they were forced to evacuate   eight years ago.",1    EXT. SPACE - THE ENTERPRISE (OPTICAL),SPACE - THE ENTERPRISE,EXT.,Second Chances,1993-03-17,The Next Generation,250.txt
1,RIKER,   Thank you... thank you very much.,2    INT. TEN FORWARD,TEN FORWARD,INT.,Second Chances,1993-03-17,The Next Generation,250.txt
2,RIKER,   Any requests tonight?,2    INT. TEN FORWARD,TEN FORWARD,INT.,Second Chances,1993-03-17,The Next Generation,250.txt
3,TROI,   Night Bird.,2    INT. TEN FORWARD,TEN FORWARD,INT.,Second Chances,1993-03-17,The Next Generation,250.txt
4,RIKER,   Anyone?,2    INT. TEN FORWARD,TEN FORWARD,INT.,Second Chances,1993-03-17,The Next Generation,250.txt
5,TROI,       Night Bird!,2    INT. TEN FORWARD,TEN FORWARD,INT.,Second Chances,1993-03-17,The Next Generation,250.txt
6,RIKER,   Ladies and Gentlemen... Night   Bird.,2    INT. TEN FORWARD,TEN FORWARD,INT.,Second Chances,1993-03-17,The Next Generation,250.txt
7,BEVERLY,   What was that all about?,2    INT. TEN FORWARD,TEN FORWARD,INT.,Second Chances,1993-03-17,The Next Generation,250.txt
8,TROI,       Wil's been trying to get this   piece right for ten years now.   He's never made it through the   solo.,2    INT. TEN FORWARD,TEN FORWARD,INT.,Second Chances,1993-03-17,The Next Generation,250.txt
9,BEVERLY,   Remember that dance recital I told   you I was doing?,2    INT. TEN FORWARD,TEN FORWARD,INT.,Second Chances,1993-03-17,The Next Generation,250.txt
10,TROI,       Next week.,2    INT. TEN FORWARD,TEN FORWARD,INT.,Second Chances,1993-03-17,The Next Generation,250.txt
11,BEVERLY,   You're dis-invited.,2    INT. TEN FORWARD,TEN FORWARD,INT.,Second Chances,1993-03-17,The Next Generation,250.txt
12,TROI,   Here it comes.,2    INT. TEN FORWARD,TEN FORWARD,INT.,Second Chances,1993-03-17,The Next Generation,250.txt
13,DATA,   Data to Commander Riker.,2    INT. TEN FORWARD,TEN FORWARD,INT.,Second Chances,1993-03-17,The Next Generation,250.txt
14,RIKER,"       Riker, here.",2    INT. TEN FORWARD,TEN FORWARD,INT.,Second Chances,1993-03-17,The Next Generation,250.txt
15,DATA,"   Commander, you are needed on the   Bridge.",2    INT. TEN FORWARD,TEN FORWARD,INT.,Second Chances,1993-03-17,The Next Generation,250.txt
16,RIKER,   On my way.,2    INT. TEN FORWARD,TEN FORWARD,INT.,Second Chances,1993-03-17,The Next Generation,250.txt
17,RIKER,   Saved by the bell...,2    INT. TEN FORWARD,TEN FORWARD,INT.,Second Chances,1993-03-17,The Next Generation,250.txt
18,RIKER,"   You wanted to see me, Data?",3    INT. BRIDGE,BRIDGE,INT.,Second Chances,1993-03-17,The Next Generation,250.txt
19,DATA,"   Yes, sir. It appears that we will   be able to transport to the   surface sooner than we   anticipated.",3    INT. BRIDGE,BRIDGE,INT.,Second Chances,1993-03-17,The Next Generation,250.txt
20,RIKER,   Is the planet's distortion field   de-phasing sooner than you   predicted?,3    INT. BRIDGE,BRIDGE,INT.,Second Chances,1993-03-17,The Next Generation,250.txt
21,DATA,"   No, sir. But using the Potemkin's   transport logs from the original   evacuation, Commander La Forge and   I were able to modify the   Transporters.",3    INT. BRIDGE,BRIDGE,INT.,Second Chances,1993-03-17,The Next Generation,250.txt
22,RIKER,       So we can beam through higher   distortion levels.,3    INT. BRIDGE,BRIDGE,INT.,Second Chances,1993-03-17,The Next Generation,250.txt
23,DATA,       The Transporters are now   considerably more efficient than   those used on the Potemkin eight   years ago.,3    INT. BRIDGE,BRIDGE,INT.,Second Chances,1993-03-17,The Next Generation,250.txt
24,RIKER,   Glad to hear it. I almost didn't   make it off the surface that day.       When can we get started?,3    INT. BRIDGE,BRIDGE,INT.,Second Chances,1993-03-17,The Next Generation,250.txt
25,DATA,   Ninety-seven minutes.,3    INT. BRIDGE,BRIDGE,INT.,Second Chances,1993-03-17,The Next Generation,250.txt
26,RIKER,   How long will the transport window   last?,3    INT. BRIDGE,BRIDGE,INT.,Second Chances,1993-03-17,The Next Generation,250.txt
27,DATA,"   Twenty-six minutes. After that,   the distortion field will re-phase.",3    INT. BRIDGE,BRIDGE,INT.,Second Chances,1993-03-17,The Next Generation,250.txt
28,RIKER,   That doesn't give us much time to   retrieve the database.,3    INT. BRIDGE,BRIDGE,INT.,Second Chances,1993-03-17,The Next Generation,250.txt
29,DATA,   The planet's proximity to its sun   will create two additional   transport windows in the next   three days.,3    INT. BRIDGE,BRIDGE,INT.,Second Chances,1993-03-17,The Next Generation,250.txt
30,RIKER,   Let's hope that's enough.,3    INT. BRIDGE,BRIDGE,INT.,Second Chances,1993-03-17,The Next Generation,250.txt
31,DATA,"   It will have to be. The next   transport window will not occur   for another eight years, when the   planet's orbit brings it close   enough to the sun to de-phase the   distortion field.",3    INT. BRIDGE,BRIDGE,INT.,Second Chances,1993-03-17,The Next Generation,250.txt
32,RIKER,   Notify the Away Team we're going   in ahead of schedule; I'll tell   the Captain.,3    INT. BRIDGE,BRIDGE,INT.,Second Chances,1993-03-17,The Next Generation,250.txt
33,RIKER,       How long until the transport   window opens?,5    INT. TRANSPORTER ROOM,TRANSPORTER ROOM,INT.,Second Chances,1993-03-17,The Next Generation,250.txt
34,GEORDI,   Fourteen seconds.,5    INT. TRANSPORTER ROOM,TRANSPORTER ROOM,INT.,Second Chances,1993-03-17,The Next Generation,250.txt
35,RIKER,       Let's get in position.,5    INT. TRANSPORTER ROOM,TRANSPORTER ROOM,INT.,Second Chances,1993-03-17,The Next Generation,250.txt
36,GEORDI,"   Whenever you're ready, Commander.",5    INT. TRANSPORTER ROOM,TRANSPORTER ROOM,INT.,Second Chances,1993-03-17,The Next Generation,250.txt
37,RIKER,   Energize.,5    INT. TRANSPORTER ROOM,TRANSPORTER ROOM,INT.,Second Chances,1993-03-17,The Next Generation,250.txt
38,RIKER,   This isn't how I remember it; the   place was a mess when we left.,6    INT. RESEARCH STATION (OPTICAL),RESEARCH STATION,INT.,Second Chances,1993-03-17,The Next Generation,250.txt
39,DATA,   Commander...,6    INT. RESEARCH STATION (OPTICAL),RESEARCH STATION,INT.,Second Chances,1993-03-17,The Next Generation,250.txt
40,RIKER,   Someone's been here...,6    INT. RESEARCH STATION (OPTICAL),RESEARCH STATION,INT.,Second Chances,1993-03-17,The Next Generation,250.txt
41,WORF,   A vessel could have gotten caught   in the distortion field and   crashed. The survivors may have   taken shelter here.,6    INT. RESEARCH STATION (OPTICAL),RESEARCH STATION,INT.,Second Chances,1993-03-17,The Next Generation,250.txt
42,DATA,"   Commander, someone is   approaching... a humanoid. Forty   meters due east and closing.",6    INT. RESEARCH STATION (OPTICAL),RESEARCH STATION,INT.,Second Chances,1993-03-17,The Next Generation,250.txt
43,RIKER,   Who are you?,7    INT. RESEARCH STATION - CONTINUOUS (OPTICAL),RESEARCH STATION - CONTINUOUS,INT.,Second Chances,1993-03-17,The Next Generation,250.txt
44,LT. RIKER,   Who are you?,7    INT. RESEARCH STATION - CONTINUOUS (OPTICAL),RESEARCH STATION - CONTINUOUS,INT.,Second Chances,1993-03-17,The Next Generation,250.txt
45,RIKER,   Commander William Riker of the   Federation Starship Enterprise.,7    INT. RESEARCH STATION - CONTINUOUS (OPTICAL),RESEARCH STATION - CONTINUOUS,INT.,Second Chances,1993-03-17,The Next Generation,250.txt
46,LT. RIKER,   That's not possible. I'm Wil   Riker.,7    INT. RESEARCH STATION - CONTINUOUS (OPTICAL),RESEARCH STATION - CONTINUOUS,INT.,Second Chances,1993-03-17,The Next Generation,250.txt
47,DATA,   May I ask how you got here?,7    INT. RESEARCH STATION - CONTINUOUS (OPTICAL),RESEARCH STATION - CONTINUOUS,INT.,Second Chances,1993-03-17,The Next Generation,250.txt
48,LT. RIKER,"   Eight years ago, I led a team to   evacuate this station.",7    INT. RESEARCH STATION - CONTINUOUS (OPTICAL),RESEARCH STATION - CONTINUOUS,INT.,Second Chances,1993-03-17,The Next Generation,250.txt
49,RIKER,   What ship were you on?,7    INT. RESEARCH STATION - CONTINUOUS (OPTICAL),RESEARCH STATION - CONTINUOUS,INT.,Second Chances,1993-03-17,The Next Generation,250.txt
50,LT. RIKER,   The Potemkin.,7    INT. RESEARCH STATION - CONTINUOUS (OPTICAL),RESEARCH STATION - CONTINUOUS,INT.,Second Chances,1993-03-17,The Next Generation,250.txt
51,DATA,   Why did you not return to the   Potemkin with the others?,7    INT. RESEARCH STATION - CONTINUOUS (OPTICAL),RESEARCH STATION - CONTINUOUS,INT.,Second Chances,1993-03-17,The Next Generation,250.txt
52,LT. RIKER,"   I was the last one out. The   distortion field must have   interfered with the transport;   they lost their signal lock on me.   When I tried to contact the ship,   I couldn't get through the   interference.",7    INT. RESEARCH STATION - CONTINUOUS (OPTICAL),RESEARCH STATION - CONTINUOUS,INT.,Second Chances,1993-03-17,The Next Generation,250.txt
53,LT. RIKER,   Check with Starfleet; I'm sure   they recorded me lost that day.,7    INT. RESEARCH STATION - CONTINUOUS (OPTICAL),RESEARCH STATION - CONTINUOUS,INT.,Second Chances,1993-03-17,The Next Generation,250.txt
54,RIKER,   That's not what happened. I was   the last one out... but I made it   back to the Potemkin.,7    INT. RESEARCH STATION - CONTINUOUS (OPTICAL),RESEARCH STATION - CONTINUOUS,INT.,Second Chances,1993-03-17,The Next Generation,250.txt
55,LT. RIKER,   You don't believe me.,7    INT. RESEARCH STATION - CONTINUOUS (OPTICAL),RESEARCH STATION - CONTINUOUS,INT.,Second Chances,1993-03-17,The Next Generation,250.txt
56,RIKER,   It's not that we don't believe   you; it's just hard to see how   both our stories could be true.       Would you be willing to let our   Doctor check you out?,7    INT. RESEARCH STATION - CONTINUOUS (OPTICAL),RESEARCH STATION - CONTINUOUS,INT.,Second Chances,1993-03-17,The Next Generation,250.txt
57,LT. RIKER,   Of course.,7    INT. RESEARCH STATION - CONTINUOUS (OPTICAL),RESEARCH STATION - CONTINUOUS,INT.,Second Chances,1993-03-17,The Next Generation,250.txt
58,RIKER,"   Lieutenant Worf, take him to   Sickbay. Notify the Captain as   soon as you're aboard.",7    INT. RESEARCH STATION - CONTINUOUS (OPTICAL),RESEARCH STATION - CONTINUOUS,INT.,Second Chances,1993-03-17,The Next Generation,250.txt
59,WORF,       Worf to Enterprise. Two to beam   up.,7    INT. RESEARCH STATION - CONTINUOUS (OPTICAL),RESEARCH STATION - CONTINUOUS,INT.,Second Chances,1993-03-17,The Next Generation,250.txt
60,RIKER,   Let's get to work.,7    INT. RESEARCH STATION - CONTINUOUS (OPTICAL),RESEARCH STATION - CONTINUOUS,INT.,Second Chances,1993-03-17,The Next Generation,250.txt
61,BEVERLY,   Looks like you fractured your arm   a few years ago.,10   INT. SICKBAY,SICKBAY,INT.,Second Chances,1993-03-17,The Next Generation,250.txt
62,LT. RIKER,   I was underneath the station   making repairs when an earthquake   hit -- I got caught in a   rockslide. I had to set it   myself.,10   INT. SICKBAY,SICKBAY,INT.,Second Chances,1993-03-17,The Next Generation,250.txt
63,PICARD,   Captain Jean-Luc Picard.,10   INT. SICKBAY,SICKBAY,INT.,Second Chances,1993-03-17,The Next Generation,250.txt
64,LT. RIKER,"   Lieutenant Wil Riker, sir.",10   INT. SICKBAY,SICKBAY,INT.,Second Chances,1993-03-17,The Next Generation,250.txt
65,PICARD,"   If you are Wil Riker, if there are   two of you... then something   extraordinary has occurred. I   hope you understand our need to   verify your claim.",10   INT. SICKBAY,SICKBAY,INT.,Second Chances,1993-03-17,The Next Generation,250.txt
66,LT. RIKER,"   Yes, sir.",10   INT. SICKBAY,SICKBAY,INT.,Second Chances,1993-03-17,The Next Generation,250.txt
67,BEVERLY,"   Genetically, he's   indistinguishable from Commander   Riker.",10   INT. SICKBAY,SICKBAY,INT.,Second Chances,1993-03-17,The Next Generation,250.txt
68,PICARD,   Could some sort of cloning be   involved?,10   INT. SICKBAY,SICKBAY,INT.,Second Chances,1993-03-17,The Next Generation,250.txt
69,BEVERLY,"   I don't think so, there's no   genetic drift.",10   INT. SICKBAY,SICKBAY,INT.,Second Chances,1993-03-17,The Next Generation,250.txt
70,PICARD,   But that isn't conclusive.,10   INT. SICKBAY,SICKBAY,INT.,Second Chances,1993-03-17,The Next Generation,250.txt
71,BEVERLY,"   That's why I compared their brain   scans. Brain organization   patterns are as unique as...   fingerprints. Except for some   minor differences, theirs are   identical.",10   INT. SICKBAY,SICKBAY,INT.,Second Chances,1993-03-17,The Next Generation,250.txt
72,PICARD,   Can't brain patterns be cloned?,10   INT. SICKBAY,SICKBAY,INT.,Second Chances,1993-03-17,The Next Generation,250.txt
73,BEVERLY,"   No. They're determined by   experience, mostly in early   childhood.",10   INT. SICKBAY,SICKBAY,INT.,Second Chances,1993-03-17,The Next Generation,250.txt
74,PICARD,   How could two men have shared the   same childhood experiences? It   doesn't make any sense.,10   INT. SICKBAY,SICKBAY,INT.,Second Chances,1993-03-17,The Next Generation,250.txt
75,LT. RIKER,"   Sir, I am Wil Riker. I don't know   who or what made it back to the   Potemkin that day, but it wasn't   me.",10   INT. SICKBAY,SICKBAY,INT.,Second Chances,1993-03-17,The Next Generation,250.txt
76,PICARD,       Lieutenant -- my Chief Engineer is   checking over the transport logs   from the Potemkin. They may shed   some light on what happened.,10   INT. SICKBAY,SICKBAY,INT.,Second Chances,1993-03-17,The Next Generation,250.txt
77,LT. RIKER,"   Yes, sir.",10   INT. SICKBAY,SICKBAY,INT.,Second Chances,1993-03-17,The Next Generation,250.txt
78,PICARD,"   Don't worry, we'll get to the   bottom of this.",10   INT. SICKBAY,SICKBAY,INT.,Second Chances,1993-03-17,The Next Generation,250.txt
79,PICARD,   In the meantime you'll be taken to   quarters. Make yourself   comfortable.,10   INT. SICKBAY,SICKBAY,INT.,Second Chances,1993-03-17,The Next Generation,250.txt
80,LT. RIKER,"   I will, sir. The replicators on   the station stopped working a long   time ago. It's been a while since   I had a decent meal.",10   INT. SICKBAY,SICKBAY,INT.,Second Chances,1993-03-17,The Next Generation,250.txt
81,LT. RIKER,   Doctor...,10   INT. SICKBAY,SICKBAY,INT.,Second Chances,1993-03-17,The Next Generation,250.txt
