,character,quote,scene,location,view,episode,date,series,file
0,PICARD ,"   Captain's log, stardate 45944.1.   We're en route to Starbase   Two-eighteen after a magnetic wave   survey of the Parvenium Sector.   We will give our report directly   to Fleet Admiral Gustafson.",3    EXT. SPACE - ENTERPRISE (OPTICAL),SPACE - ENTERPRISE,EXT.,The Inner Light,1992-03-24,The Next Generation,225.txt
1,PICARD,   The last time I encountered   Admiral Gustafson... I ended up   spending nine straight hours at   the opera.,4    INT. BRIDGE,BRIDGE,INT.,The Inner Light,1992-03-24,The Next Generation,225.txt
2,GEORDI,   Nine hours... ?,4    INT. BRIDGE,BRIDGE,INT.,The Inner Light,1992-03-24,The Next Generation,225.txt
3,PICARD,"   The entire ""Ring"" cycle at one   sitting...",4    INT. BRIDGE,BRIDGE,INT.,The Inner Light,1992-03-24,The Next Generation,225.txt
4,RIKER,   That's a little too much Wagner   for me.,4    INT. BRIDGE,BRIDGE,INT.,The Inner Light,1992-03-24,The Next Generation,225.txt
5,PICARD,"   And for me... but not, apparently,   for Admiral Gustafson. She went   back the next day and sat through   it all again. I warned her that   this time --",4    INT. BRIDGE,BRIDGE,INT.,The Inner Light,1992-03-24,The Next Generation,225.txt
6,WORF,"   Sir, sensors detect an   unidentified object... twenty-two   thousand kilometers off the port   quarter.",4    INT. BRIDGE,BRIDGE,INT.,The Inner Light,1992-03-24,The Next Generation,225.txt
7,PICARD,   On screen.,4    INT. BRIDGE,BRIDGE,INT.,The Inner Light,1992-03-24,The Next Generation,225.txt
8,PICARD,   Magnify.,4    INT. BRIDGE,BRIDGE,INT.,The Inner Light,1992-03-24,The Next Generation,225.txt
9,PICARD,   Mister Data?,4    INT. BRIDGE,BRIDGE,INT.,The Inner Light,1992-03-24,The Next Generation,225.txt
10,DATA,   It appears to be a probe of some   kind... but there is no Starfleet   record of this shape or design.,4    INT. BRIDGE,BRIDGE,INT.,The Inner Light,1992-03-24,The Next Generation,225.txt
11,RIKER,   Is it scanning us?,4    INT. BRIDGE,BRIDGE,INT.,The Inner Light,1992-03-24,The Next Generation,225.txt
12,WORF,   No sir... but it has assumed a   relative position and is holding   course with us.,4    INT. BRIDGE,BRIDGE,INT.,The Inner Light,1992-03-24,The Next Generation,225.txt
13,DATA,   The probe is composed of...   paricium and talgonite... a   ceramic alloy.,4    INT. BRIDGE,BRIDGE,INT.,The Inner Light,1992-03-24,The Next Generation,225.txt
14,GEORDI,   Not a very sophisticated   technology...,4    INT. BRIDGE,BRIDGE,INT.,The Inner Light,1992-03-24,The Next Generation,225.txt
15,WORF,"   Sir, I'm detecting a low-level   nucleonic beam coming from the   probe.",4    INT. BRIDGE,BRIDGE,INT.,The Inner Light,1992-03-24,The Next Generation,225.txt
16,RIKER,   Shields up; stand by phasers.,4    INT. BRIDGE,BRIDGE,INT.,The Inner Light,1992-03-24,The Next Generation,225.txt
17,DATA,   The beam is scanning the shield's   perimeter.       The probe is emitting an unusual   particle stream --,4    INT. BRIDGE,BRIDGE,INT.,The Inner Light,1992-03-24,The Next Generation,225.txt
18,WORF,"   Captain, the beam is penetrating   our shields --",4    INT. BRIDGE,BRIDGE,INT.,The Inner Light,1992-03-24,The Next Generation,225.txt
19,PICARD,   Increase power to --,4    INT. BRIDGE,BRIDGE,INT.,The Inner Light,1992-03-24,The Next Generation,225.txt
20,RIKER,   Captain?...,4    INT. BRIDGE,BRIDGE,INT.,The Inner Light,1992-03-24,The Next Generation,225.txt
21,RIKER,"   Captain, I've got you; it's   all...",4    INT. BRIDGE,BRIDGE,INT.,The Inner Light,1992-03-24,The Next Generation,225.txt
22,ELINE,   Well.. finally.,4    INT. BRIDGE,BRIDGE,INT.,The Inner Light,1992-03-24,The Next Generation,225.txt
23,ELINE,       How are you feeling?,9    INT. KAMIN MAIN ROOM - DAY,KAMIN MAIN ROO,INT.,The Inner Light,1992-03-24,The Next Generation,225.txt
24,ELINE,       Kamin... can you answer me?,9    INT. KAMIN MAIN ROOM - DAY,KAMIN MAIN ROO,INT.,The Inner Light,1992-03-24,The Next Generation,225.txt
25,PICARD,   Where is this... ?,9    INT. KAMIN MAIN ROOM - DAY,KAMIN MAIN ROO,INT.,The Inner Light,1992-03-24,The Next Generation,225.txt
26,ELINE,   You're still feverish...,9    INT. KAMIN MAIN ROOM - DAY,KAMIN MAIN ROO,INT.,The Inner Light,1992-03-24,The Next Generation,225.txt
27,PICARD,"   Computer, freeze program.       End program.",9    INT. KAMIN MAIN ROOM - DAY,KAMIN MAIN ROO,INT.,The Inner Light,1992-03-24,The Next Generation,225.txt
28,PICARD,   Picard to Enterprise --,9    INT. KAMIN MAIN ROOM - DAY,KAMIN MAIN ROO,INT.,The Inner Light,1992-03-24,The Next Generation,225.txt
29,ELINE,"   Kamin, please don't try to get   up yet... you're still not well.",9    INT. KAMIN MAIN ROOM - DAY,KAMIN MAIN ROO,INT.,The Inner Light,1992-03-24,The Next Generation,225.txt
30,PICARD,   I asked you... what is this place?,9    INT. KAMIN MAIN ROOM - DAY,KAMIN MAIN ROO,INT.,The Inner Light,1992-03-24,The Next Generation,225.txt
31,ELINE,"   This... is your home, of course.",9    INT. KAMIN MAIN ROOM - DAY,KAMIN MAIN ROO,INT.,The Inner Light,1992-03-24,The Next Generation,225.txt
32,PICARD,   Where is my uniform? My   communicator?,10   INT. KAMIN MAIN ROOM - DAY (CONTINUOUS),KAMIN MAIN ROOM - DAY,INT.,The Inner Light,1992-03-24,The Next Generation,225.txt
