,character,quote,scene,location,view,episode,date,series,file
0,RIKER ,"   Ship's log, stardate 42625.4,   First Officer Riker reporting.   We have achieved orbit around   Theta Eight...",1    EXT. SPACE - THE ENTERPRISE (OPTICAL),SPACE - THE ENTERPRISE,EXT.,The Royale,1989-01-10,The Next Generation,138.txt
1,RIKER ,"       ... the planet furthest from its   sun in this previously unmapped   solar system. It is a world of   ruthless realities: particularly   harsh, barren, and inhospitable...",2    INT. MAIN BRIDGE - ON WESLEY,MAIN BRIDG,INT.,The Royale,1989-01-10,The Next Generation,138.txt
2,RIKER ,       Our reason for being here -- a   passing Klingon cruiser reported   discovering pieces of a strange   vessel in the upper atmosphere.   We've come to investigate...,2    INT. MAIN BRIDGE - ON WESLEY,MAIN BRIDG,INT.,The Royale,1989-01-10,The Next Generation,138.txt
3,GEORDI,       Nasty. Nitrogen... methane...   liquid neon. Surface temperature   minus two hundred and ninety-one   degrees Fahrenheit. Winds up to   three hundred and twelve meters   per second.,2    INT. MAIN BRIDGE - ON WESLEY,MAIN BRIDG,INT.,The Royale,1989-01-10,The Next Generation,138.txt
4,RIKER,"   Not exactly a vacation planet,   eh?",2    INT. MAIN BRIDGE - ON WESLEY,MAIN BRIDG,INT.,The Royale,1989-01-10,The Next Generation,138.txt
5,GEORDI,   Uh uh. Not unless you like   ammonia tornadoes. Or orange   lightning bolts for that matter.,2    INT. MAIN BRIDGE - ON WESLEY,MAIN BRIDG,INT.,The Royale,1989-01-10,The Next Generation,138.txt
6,RIKER,       Not my cup of tea. Found anything   artificial in the atmosphere?,2    INT. MAIN BRIDGE - ON WESLEY,MAIN BRIDG,INT.,The Royale,1989-01-10,The Next Generation,138.txt
7,GEORDI,   Nothing so far. We're just coming   around to the night side now.,2    INT. MAIN BRIDGE - ON WESLEY,MAIN BRIDG,INT.,The Royale,1989-01-10,The Next Generation,138.txt
8,RIKER,"   Keep me informed. The sooner we   identify what the Klingons think   they saw, the sooner we can get   the hell out of here.",2    INT. MAIN BRIDGE - ON WESLEY,MAIN BRIDG,INT.,The Royale,1989-01-10,The Next Generation,138.txt
9,GEORDI,   Sounds good to me.,2    INT. MAIN BRIDGE - ON WESLEY,MAIN BRIDG,INT.,The Royale,1989-01-10,The Next Generation,138.txt
