,character,quote,scene,location,view,episode,date,series,file
0,PICARD ,"   Captain's log, stardate 41235.25.   Our location planet Ligon II,   source of a rare vaccine needed   on Federation planet Styris IV.   Starfleet has instructed me...",1    EXT. SPACE - ENTERPRISE (OPTICAL),SPACE - ENTERPRISE,EXT.,Code of Honor,1987-07-02,The Next Generation,104.txt
1,PICARD ,       ... to engage in a friendly visit   and open treaty negotiations to   acquire this medicinal substance.,2    INT. MAIN BRIDGE - WIDE ANGLE,MAIN BRIDG,INT.,Code of Honor,1987-07-02,The Next Generation,104.txt
2,GEORDI,"   Standard orbit, sir.",2    INT. MAIN BRIDGE - WIDE ANGLE,MAIN BRIDG,INT.,Code of Honor,1987-07-02,The Next Generation,104.txt
3,RIKER,"   Lieutenant Yar is calling from   Cargo Bay One, sir. Standing by   to beam Ligonian welcoming party   aboard.",2    INT. MAIN BRIDGE - WIDE ANGLE,MAIN BRIDG,INT.,Code of Honor,1987-07-02,The Next Generation,104.txt
4,PICARD,"       On our way. You have the helm,   Mister Data.",2    INT. MAIN BRIDGE - WIDE ANGLE,MAIN BRIDG,INT.,Code of Honor,1987-07-02,The Next Generation,104.txt
5,PICARD,    (continuing; toward     controls)   Cargo One.       Should be an interesting   experience.,3    INT. TURBOLIFT,TURBOLIFT,INT.,Code of Honor,1987-07-02,The Next Generation,104.txt
6,RIKER,   Agreed. Not only are they closely   humanoid but their history has   remarkable similarities to ours.,3    INT. TURBOLIFT,TURBOLIFT,INT.,Code of Honor,1987-07-02,The Next Generation,104.txt
7,TROI,   But a highly structured society   and they're exceedingly proud.,3    INT. TURBOLIFT,TURBOLIFT,INT.,Code of Honor,1987-07-02,The Next Generation,104.txt
8,TASHA,"   They've insisted on using their   own transporter device, sir...",4    INT. CARGO DECK (OPTICAL),CARGO DECK,INT.,Code of Honor,1987-07-02,The Next Generation,104.txt
9,PICARD,"       It's their way, Lieutenant. Do   they have our coordinates?",4    INT. CARGO DECK (OPTICAL),CARGO DECK,INT.,Code of Honor,1987-07-02,The Next Generation,104.txt
10,TASHA,"   They have, sir. Precisely. And   they're standing by for your   signal.",4    INT. CARGO DECK (OPTICAL),CARGO DECK,INT.,Code of Honor,1987-07-02,The Next Generation,104.txt
11,PICARD,   This is Captain Picard of the   Starfleet vessel Enterprise.   Please...    (looks to Troi; she     nods)   ... please do us the honor of   visiting our vessel.,4    INT. CARGO DECK (OPTICAL),CARGO DECK,INT.,Code of Honor,1987-07-02,The Next Generation,104.txt
12,TASHA,"       Nothing concealed, sir.",4    INT. CARGO DECK (OPTICAL),CARGO DECK,INT.,Code of Honor,1987-07-02,The Next Generation,104.txt
13,LUTAN,   I am Lutan.,4    INT. CARGO DECK (OPTICAL),CARGO DECK,INT.,Code of Honor,1987-07-02,The Next Generation,104.txt
14,PICARD,"   Captain Jean-Luc Picard. Welcome   aboard. These are my officers.   Second in command, Commander   William Riker; Ship's Counselor   Deanna Troi; my security officer,   Lieutenant Tasha Yar.",4    INT. CARGO DECK (OPTICAL),CARGO DECK,INT.,Code of Honor,1987-07-02,The Next Generation,104.txt
15,LUTAN,   A woman? Your Chief of Security?,4    INT. CARGO DECK (OPTICAL),CARGO DECK,INT.,Code of Honor,1987-07-02,The Next Generation,104.txt
16,PICARD,"   Yes, Lutan: that is her expertise.",4    INT. CARGO DECK (OPTICAL),CARGO DECK,INT.,Code of Honor,1987-07-02,The Next Generation,104.txt
17,LUTAN,"   I am honored to meet your   officers.       And this is my Secondary, Hagon.       A sample of the vaccine.",4    INT. CARGO DECK (OPTICAL),CARGO DECK,INT.,Code of Honor,1987-07-02,The Next Generation,104.txt
18,TASHA,"   My duty, Lutan.",4    INT. CARGO DECK (OPTICAL),CARGO DECK,INT.,Code of Honor,1987-07-02,The Next Generation,104.txt
19,TASHA,"       Sorry, I am required to inspect...",4    INT. CARGO DECK (OPTICAL),CARGO DECK,INT.,Code of Honor,1987-07-02,The Next Generation,104.txt
20,HAGON,"   Aside, little one...",4    INT. CARGO DECK (OPTICAL),CARGO DECK,INT.,Code of Honor,1987-07-02,The Next Generation,104.txt
21,HAGON,       This... this is a woman?,4    INT. CARGO DECK (OPTICAL),CARGO DECK,INT.,Code of Honor,1987-07-02,The Next Generation,104.txt
22,LUTAN,       How interesting!       May we prove as surprising to you.,4    INT. CARGO DECK (OPTICAL),CARGO DECK,INT.,Code of Honor,1987-07-02,The Next Generation,104.txt
23,TROI,"       If I may suggest, sir...",5    INT. CARGO DECK - FULL SHOT,CARGO DEC,INT.,Code of Honor,1987-07-02,The Next Generation,104.txt
