,character,quote,scene,location,view,episode,date,series,file
0,PICARD ,"   Captain's log, Stardate 43657.0   We have arrived at sector four-eight-seven   to begin charting this   region of the galaxy. Commander   Riker has been spared this   sometimes tedious duty by virtue   of a long overdue personal leave.",1    EXT. SPACE - THE ENTERPRISE (OPTICAL),SPACE - THE ENTERPRISE,EXT.,The Offspring,1989-12-19,The Next Generation,164.txt
1,GEORDI,   Did he send for you too?,2    INT. CORRIDOR,CORRIDOR,INT.,The Offspring,1989-12-19,The Next Generation,164.txt
2,TROI,   Yes... he was very mysterious   about it.,2    INT. CORRIDOR,CORRIDOR,INT.,The Offspring,1989-12-19,The Next Generation,164.txt
3,WESLEY,   Does anyone have any idea what   this is all about?,2    INT. CORRIDOR,CORRIDOR,INT.,The Offspring,1989-12-19,The Next Generation,164.txt
4,GEORDI,   Something happened at that   cybernetics conference. Since   he's come back he's spent every   off duty minute in that lab.,2    INT. CORRIDOR,CORRIDOR,INT.,The Offspring,1989-12-19,The Next Generation,164.txt
5,TROI,   It is very unlike Data to be   secretive.,2    INT. CORRIDOR,CORRIDOR,INT.,The Offspring,1989-12-19,The Next Generation,164.txt
6,WESLEY,   And cautious. He kept the lab   locked.,2    INT. CORRIDOR,CORRIDOR,INT.,The Offspring,1989-12-19,The Next Generation,164.txt
7,GEORDI,   Now how would you know that?,2    INT. CORRIDOR,CORRIDOR,INT.,The Offspring,1989-12-19,The Next Generation,164.txt
8,DATA,"   Oh, you are early. Just a moment   please.",3    INT. LABORATORY - REVERSE ANGLE,LABORATOR,INT.,The Offspring,1989-12-19,The Next Generation,164.txt
9,DATA,   You may enter now.,3    INT. LABORATORY - REVERSE ANGLE,LABORATOR,INT.,The Offspring,1989-12-19,The Next Generation,164.txt
10,GEORDI,"   C'mon, Data, what is this...",3    INT. LABORATORY - REVERSE ANGLE,LABORATOR,INT.,The Offspring,1989-12-19,The Next Generation,164.txt
11,WESLEY,"   Yeah, what's going on?",3    INT. LABORATORY - REVERSE ANGLE,LABORATOR,INT.,The Offspring,1989-12-19,The Next Generation,164.txt
12,DATA,   I have invited you here to meet   someone.,3    INT. LABORATORY - REVERSE ANGLE,LABORATOR,INT.,The Offspring,1989-12-19,The Next Generation,164.txt
13,DATA,"   This is Lal. Lal, say hello to   Counselor Deanna Troi...",3    INT. LABORATORY - REVERSE ANGLE,LABORATOR,INT.,The Offspring,1989-12-19,The Next Generation,164.txt
14,LAL,   Hello... Counselor Deanna Troi...,3    INT. LABORATORY - REVERSE ANGLE,LABORATOR,INT.,The Offspring,1989-12-19,The Next Generation,164.txt
15,TROI,"   How do you do, Lal.",3    INT. LABORATORY - REVERSE ANGLE,LABORATOR,INT.,The Offspring,1989-12-19,The Next Generation,164.txt
16,LAL,   I am functioning... within normal   parameters.,3    INT. LABORATORY - REVERSE ANGLE,LABORATOR,INT.,The Offspring,1989-12-19,The Next Generation,164.txt
17,DATA,   And this is Geordi La Forge and   Wesley Crusher.,3    INT. LABORATORY - REVERSE ANGLE,LABORATOR,INT.,The Offspring,1989-12-19,The Next Generation,164.txt
18,LAL,"   Purpose for... exterior drapings,   Father?",3    INT. LABORATORY - REVERSE ANGLE,LABORATOR,INT.,The Offspring,1989-12-19,The Next Generation,164.txt
19,WESLEY,       Father?,3    INT. LABORATORY - REVERSE ANGLE,LABORATOR,INT.,The Offspring,1989-12-19,The Next Generation,164.txt
20,DATA,   It is the custom that we wear   clothing.,3    INT. LABORATORY - REVERSE ANGLE,LABORATOR,INT.,The Offspring,1989-12-19,The Next Generation,164.txt
21,WESLEY,"   It called you ""Father"", Data.",3    INT. LABORATORY - REVERSE ANGLE,LABORATOR,INT.,The Offspring,1989-12-19,The Next Generation,164.txt
22,DATA,"   Yes, Wesley. Lal is my child.",3    INT. LABORATORY - REVERSE ANGLE,LABORATOR,INT.,The Offspring,1989-12-19,The Next Generation,164.txt
23,DATA,   It has a positronic brain... one   very similar to my own... I began   to program it at the cybernetics   conference...,4    INT. LABORATORY,LABORATORY,INT.,The Offspring,1989-12-19,The Next Generation,164.txt
24,GEORDI,   But nobody's ever been able to   do that... at least not since you   were programmed Data...,4    INT. LABORATORY,LABORATORY,INT.,The Offspring,1989-12-19,The Next Generation,164.txt
25,DATA,   There was a new submicron matrix-transfer   technology introduced   at the conference which I   discovered could be used to lay   down complex neural net   pathways...,4    INT. LABORATORY,LABORATORY,INT.,The Offspring,1989-12-19,The Next Generation,164.txt
26,WESLEY,       You mean a transfer... from your   your brain to Lal's...,4    INT. LABORATORY,LABORATORY,INT.,The Offspring,1989-12-19,The Next Generation,164.txt
27,DATA,"   Exactly, Wesley. I realized for   the very first time it was possible   to continue Doctor Soong's work.   My initial transfers have produced   very encouraging results... so I   brought Lal's brain back with me   to continue.",4    INT. LABORATORY,LABORATORY,INT.,The Offspring,1989-12-19,The Next Generation,164.txt
28,PICARD,       Data...,4    INT. LABORATORY,LABORATORY,INT.,The Offspring,1989-12-19,The Next Generation,164.txt
29,PICARD,   I would like to have been   consulted.,4    INT. LABORATORY,LABORATORY,INT.,The Offspring,1989-12-19,The Next Generation,164.txt
30,DATA,"   I have not observed anyone else   on board consult with you about   their procreation, Captain.",4    INT. LABORATORY,LABORATORY,INT.,The Offspring,1989-12-19,The Next Generation,164.txt
31,PICARD,"   No, but...",4    INT. LABORATORY,LABORATORY,INT.,The Offspring,1989-12-19,The Next Generation,164.txt
32,PICARD,   ... in your case... it's not quite   the same.,4    INT. LABORATORY,LABORATORY,INT.,The Offspring,1989-12-19,The Next Generation,164.txt
33,DATA,   The intention is the same.,4    INT. LABORATORY,LABORATORY,INT.,The Offspring,1989-12-19,The Next Generation,164.txt
34,DATA,   Lal's creation is entirely   dependent on me. I am giving it   knowledge and skills that are   stored in my brain... its   programming reflects mine in the   same way a human child's genes   reflect its parent's genes...,4    INT. LABORATORY,LABORATORY,INT.,The Offspring,1989-12-19,The Next Generation,164.txt
35,GEORDI,"   It's true, Captain, this   technology requires another   positronic brain that's fully   programmed...",4    INT. LABORATORY,LABORATORY,INT.,The Offspring,1989-12-19,The Next Generation,164.txt
36,WESLEY,   And Data's the only person around   who has one. That does kind of   makes him Lal's dad.,4    INT. LABORATORY,LABORATORY,INT.,The Offspring,1989-12-19,The Next Generation,164.txt
37,DATA,"   Of course, it is not complete.   We have only made two transfers.",4    INT. LABORATORY,LABORATORY,INT.,The Offspring,1989-12-19,The Next Generation,164.txt
38,TROI,"   Why didn't you give it a more   human look, Data?",4    INT. LABORATORY,LABORATORY,INT.,The Offspring,1989-12-19,The Next Generation,164.txt
39,DATA,   I decided to allow Lal to choose   its own appearance and sex.,4    INT. LABORATORY,LABORATORY,INT.,The Offspring,1989-12-19,The Next Generation,164.txt
40,PICARD,"   Mister Data, at your convenience,   I'd like to talk to you in my   Ready Room. Counselor...    ",4    INT. LABORATORY,LABORATORY,INT.,The Offspring,1989-12-19,The Next Generation,164.txt
41,DATA,   Captain... Have a cigar.,4    INT. LABORATORY,LABORATORY,INT.,The Offspring,1989-12-19,The Next Generation,164.txt
42,DATA,   I believe it is customary.,4    INT. LABORATORY,LABORATORY,INT.,The Offspring,1989-12-19,The Next Generation,164.txt
43,PICARD,"   I would suggest we do whatever   we can to discourage this   perception of the new android as   a ""child""...",4B   INT. CORRIDOR,CORRIDOR,INT.,The Offspring,1989-12-19,The Next Generation,164.txt
44,PICARD,"   Counselor, it is not a child.   It is an invention, albeit an   extraordinary one.",4B   INT. CORRIDOR,CORRIDOR,INT.,The Offspring,1989-12-19,The Next Generation,164.txt
45,TROI,"   Why should biology or technology   determine whether it is a child?   I see a man who has created an   offspring... a new life out of   his own being. That suggests a   child to me. If Data wishes to   call Lal his child, who are we to   argue?",4B   INT. CORRIDOR,CORRIDOR,INT.,The Offspring,1989-12-19,The Next Generation,164.txt
46,PICARD,"       If he must, fine. But I don't   understand how he can call a five   foot android, with heuristic   learning systems and the strength   of a ten men a ""child"".",4B   INT. CORRIDOR,CORRIDOR,INT.,The Offspring,1989-12-19,The Next Generation,164.txt
47,TROI,   You've never been a parent.,4B   INT. CORRIDOR,CORRIDOR,INT.,The Offspring,1989-12-19,The Next Generation,164.txt
48,PICARD,"   Data, what you have done has very   serious ramifications and I am   dismayed that you did not inform   anyone of what you were doing.",5    INT. READY ROOM,READY ROOM,INT.,The Offspring,1989-12-19,The Next Generation,164.txt
49,DATA,"   I am sorry I did not anticipate   your objections, Captain. Do you   wish me to deactivate Lal?",5    INT. READY ROOM,READY ROOM,INT.,The Offspring,1989-12-19,The Next Generation,164.txt
50,PICARD,"   It is a life, Data. It cannot   be activated or de-activated   simply. It is a stupendous   undertaking. Have you any idea   what will happen when Starfleet   learns of this?",5    INT. READY ROOM,READY ROOM,INT.,The Offspring,1989-12-19,The Next Generation,164.txt
51,DATA,"   I have followed all Starfleet   regulations to the best of my   ability, Captain... I expected   they would be pleased...",5    INT. READY ROOM,READY ROOM,INT.,The Offspring,1989-12-19,The Next Generation,164.txt
52,PICARD,"   We'll see.       My foremost concern is for the   safety of this ship and crew.   You are faster, stronger, and far   more knowledgeable than any   human...",5    INT. READY ROOM,READY ROOM,INT.,The Offspring,1989-12-19,The Next Generation,164.txt
53,DATA,   I can assure you Lal's programming   includes psychological inhibitor   safeguards to prevent any threat   to the Enterprise.,5    INT. READY ROOM,READY ROOM,INT.,The Offspring,1989-12-19,The Next Generation,164.txt
54,PICARD,   And in the event of a malfunction?,5    INT. READY ROOM,READY ROOM,INT.,The Offspring,1989-12-19,The Next Generation,164.txt
55,DATA,"   A malfunction is of course a   possibility, Captain. But Lal's   program is equipped like mine --   it will shut down before   deleterious behavior can begin.",5    INT. READY ROOM,READY ROOM,INT.,The Offspring,1989-12-19,The Next Generation,164.txt
56,PICARD,"   You've taken on quite a   responsibility, Mister Data...",5    INT. READY ROOM,READY ROOM,INT.,The Offspring,1989-12-19,The Next Generation,164.txt
57,DATA,"       To prepare, I have scanned all   the available literature on   parenting. There seems to be much   confusion on the issue. One   traditional doctrine insists   ""spare the rod and spoil the   child"", suggesting a punitive   approach... another more liberal   attitude would allow a child   enormous freedom...",5    INT. READY ROOM,READY ROOM,INT.,The Offspring,1989-12-19,The Next Generation,164.txt
58,PICARD,       Data...,5    INT. READY ROOM,READY ROOM,INT.,The Offspring,1989-12-19,The Next Generation,164.txt
59,DATA,   And what the Klingons do to their   children...,5    INT. READY ROOM,READY ROOM,INT.,The Offspring,1989-12-19,The Next Generation,164.txt
