,character,quote,scene,location,view,episode,date,series,file
0,BARBER,"   ... there's a time when you want   to call a Romulan's bluff and   there's a time when you don't...    (beat, waiting for a     response, then... )   Wouldn't you say?",1    INT. ENTERPRISE BARBER SHOP (OPTICAL),ENTERPRISE BARBER SHOP,INT.,Ensign Ro,1991-07-18,The Next Generation,203.txt
1,PICARD,"       Yes, well, one does not always   have the luxury...",1    INT. ENTERPRISE BARBER SHOP (OPTICAL),ENTERPRISE BARBER SHOP,INT.,Ensign Ro,1991-07-18,The Next Generation,203.txt
2,BARBER,       You've got to choose your time   and place with them. True or   false?,1    INT. ENTERPRISE BARBER SHOP (OPTICAL),ENTERPRISE BARBER SHOP,INT.,Ensign Ro,1991-07-18,The Next Generation,203.txt
3,PICARD,       Whenever possible.,1    INT. ENTERPRISE BARBER SHOP (OPTICAL),ENTERPRISE BARBER SHOP,INT.,Ensign Ro,1991-07-18,The Next Generation,203.txt
4,BARBER,"   So, this time you were lucky.",1    INT. ENTERPRISE BARBER SHOP (OPTICAL),ENTERPRISE BARBER SHOP,INT.,Ensign Ro,1991-07-18,The Next Generation,203.txt
5,BARBER,       I suppose all's well that ends   well but if I had been in your   shoes...,1    INT. ENTERPRISE BARBER SHOP (OPTICAL),ENTERPRISE BARBER SHOP,INT.,Ensign Ro,1991-07-18,The Next Generation,203.txt
6,PICARD,"       Well, it looks very nice,   Mot... that should suffice...",1    INT. ENTERPRISE BARBER SHOP (OPTICAL),ENTERPRISE BARBER SHOP,INT.,Ensign Ro,1991-07-18,The Next Generation,203.txt
7,BARBER,   Hold on...,1    INT. ENTERPRISE BARBER SHOP (OPTICAL),ENTERPRISE BARBER SHOP,INT.,Ensign Ro,1991-07-18,The Next Generation,203.txt
8,BARBER,       ...there.,1    INT. ENTERPRISE BARBER SHOP (OPTICAL),ENTERPRISE BARBER SHOP,INT.,Ensign Ro,1991-07-18,The Next Generation,203.txt
9,BARBER,"   I must tell you, Captain, Will   Riker was in for a trim   yesterday... and he agreed with   me a hundred per cent...",1    INT. ENTERPRISE BARBER SHOP (OPTICAL),ENTERPRISE BARBER SHOP,INT.,Ensign Ro,1991-07-18,The Next Generation,203.txt
10,RIKER,   Bridge to Captain Picard...,1    INT. ENTERPRISE BARBER SHOP (OPTICAL),ENTERPRISE BARBER SHOP,INT.,Ensign Ro,1991-07-18,The Next Generation,203.txt
11,PICARD,"    (hits insignia, with     an edge)   Yes?",1    INT. ENTERPRISE BARBER SHOP (OPTICAL),ENTERPRISE BARBER SHOP,INT.,Ensign Ro,1991-07-18,The Next Generation,203.txt
12,RIKER,   Sorry to interrupt. We're   receiving an emergency distress   signal from the Solarion Four   colony.,2    INT. MAIN BRIDGE,MAIN BRIDGE,INT.,Ensign Ro,1991-07-18,The Next Generation,203.txt
13,BARBER,"   Uh oh, right along the Cardassian   border...",3    INT. BARBER SHOP,BARBER SHOP,INT.,Ensign Ro,1991-07-18,The Next Generation,203.txt
14,PICARD,       Lay in a new course. I'm on my   way.,3    INT. BARBER SHOP,BARBER SHOP,INT.,Ensign Ro,1991-07-18,The Next Generation,203.txt
15,BARBER,       I told him we never should have   colonized that close to the   Cardassians...,3    INT. BARBER SHOP,BARBER SHOP,INT.,Ensign Ro,1991-07-18,The Next Generation,203.txt
16,PICARD,   Report.,4    INT. MAIN BRIDGE,MAIN BRIDGE,INT.,Ensign Ro,1991-07-18,The Next Generation,203.txt
17,RIKER,   The signal ended abruptly at oh   four five five... unable to raise   them on subspace...,4    INT. MAIN BRIDGE,MAIN BRIDGE,INT.,Ensign Ro,1991-07-18,The Next Generation,203.txt
18,PICARD,"   Hail them on upper and lower band   frequencies, Mister Worf...",4    INT. MAIN BRIDGE,MAIN BRIDGE,INT.,Ensign Ro,1991-07-18,The Next Generation,203.txt
19,WORF,"   I've tried, sir. No response.",4    INT. MAIN BRIDGE,MAIN BRIDGE,INT.,Ensign Ro,1991-07-18,The Next Generation,203.txt
20,PICARD,   Time to the Solarion system?,4    INT. MAIN BRIDGE,MAIN BRIDGE,INT.,Ensign Ro,1991-07-18,The Next Generation,203.txt
21,DATA,"   Twenty-six minutes, Captain.",4    INT. MAIN BRIDGE,MAIN BRIDGE,INT.,Ensign Ro,1991-07-18,The Next Generation,203.txt
22,PICARD,   I understand you've been   discussing alternative adversarial   engagement strategies with Mot.,4    INT. MAIN BRIDGE,MAIN BRIDGE,INT.,Ensign Ro,1991-07-18,The Next Generation,203.txt
