,character,quote,scene,location,view,episode,date,series
0,CLARA,   I like to cook all kinds of stuff.   Like yogurt and raisin salad...   chocolate-chip pancakes... and   purple omelettes.,1    INT. CLARA'S QUARTERS,CLARA'S QUARTERS,INT.,"""Imaginary Friend""",1992-02-24,The Next Generation
1,TROI,   Purple omelettes?,1    INT. CLARA'S QUARTERS,CLARA'S QUARTERS,INT.,"""Imaginary Friend""",1992-02-24,The Next Generation
2,CLARA,       You put grape juice in the eggs.   Isabella doesn't like it very much   -- she says it tastes funny.,1    INT. CLARA'S QUARTERS,CLARA'S QUARTERS,INT.,"""Imaginary Friend""",1992-02-24,The Next Generation
3,TROI,   I can see her point...,1    INT. CLARA'S QUARTERS,CLARA'S QUARTERS,INT.,"""Imaginary Friend""",1992-02-24,The Next Generation
4,TROI,   Sugar with your tea?,1    INT. CLARA'S QUARTERS,CLARA'S QUARTERS,INT.,"""Imaginary Friend""",1992-02-24,The Next Generation
5,CLARA,"   Yes, please.",1    INT. CLARA'S QUARTERS,CLARA'S QUARTERS,INT.,"""Imaginary Friend""",1992-02-24,The Next Generation
6,TROI,   Isabella... would you like some   too?,1    INT. CLARA'S QUARTERS,CLARA'S QUARTERS,INT.,"""Imaginary Friend""",1992-02-24,The Next Generation
7,CLARA,   Yes. But she takes two cubes.,1    INT. CLARA'S QUARTERS,CLARA'S QUARTERS,INT.,"""Imaginary Friend""",1992-02-24,The Next Generation
8,TROI,   I'll bet Isabella is very pretty.,1    INT. CLARA'S QUARTERS,CLARA'S QUARTERS,INT.,"""Imaginary Friend""",1992-02-24,The Next Generation
9,CLARA,"   She's very, very pretty. She has   blonde hair and a blue dress with   white buttons. Her ears are   pierced. And she's tall.",1    INT. CLARA'S QUARTERS,CLARA'S QUARTERS,INT.,"""Imaginary Friend""",1992-02-24,The Next Generation
10,TROI,   Maybe you could draw me a picture.   I'd love to see what she looks   like.,1    INT. CLARA'S QUARTERS,CLARA'S QUARTERS,INT.,"""Imaginary Friend""",1992-02-24,The Next Generation
11,CLARA,   You don't think she's real.,1    INT. CLARA'S QUARTERS,CLARA'S QUARTERS,INT.,"""Imaginary Friend""",1992-02-24,The Next Generation
