,character,quote,scene,location,view,episode,date,series,file
0,QUARK,   I'm truly impressed.,1    INT. QUARK'S QUARTERS,QUARK'S QUARTERS,INT.,Profit and Lace,1998-03-09,Deep Space Nine,547.txt
1,QUARK,"   And I'm not easily impressed. In    all my years as proprietor of    Quark's Bar, Grill, Gaming House    and Holosuite Arcade, I have never    seen such a glowing employee    performance report. I mean look    at this --",1    INT. QUARK'S QUARTERS,QUARK'S QUARTERS,INT.,Profit and Lace,1998-03-09,Deep Space Nine,547.txt
2,QUARK,"   -- in three months, no customer    has filed a single complaint    against you. You haven't spilled    a drink or mixed up a food order    or shortchanged a bill.",1    INT. QUARK'S QUARTERS,QUARK'S QUARTERS,INT.,Profit and Lace,1998-03-09,Deep Space Nine,547.txt
3,ALUURA,   I take my job very seriously.,1    INT. QUARK'S QUARTERS,QUARK'S QUARTERS,INT.,Profit and Lace,1998-03-09,Deep Space Nine,547.txt
4,QUARK,   And yet you always manage to wear    a friendly smile.,1    INT. QUARK'S QUARTERS,QUARK'S QUARTERS,INT.,Profit and Lace,1998-03-09,Deep Space Nine,547.txt
5,ALUURA,   That's because I like my work.    I'm happy to be here.,1    INT. QUARK'S QUARTERS,QUARK'S QUARTERS,INT.,Profit and Lace,1998-03-09,Deep Space Nine,547.txt
6,QUARK,"   It shows. The customers love you,    your fellow dabo girls love    you -- even the Ferengi waiters    sing your praises. And you know    why? Because you're nice.",1    INT. QUARK'S QUARTERS,QUARK'S QUARTERS,INT.,Profit and Lace,1998-03-09,Deep Space Nine,547.txt
7,ALUURA,   I try to be.,1    INT. QUARK'S QUARTERS,QUARK'S QUARTERS,INT.,Profit and Lace,1998-03-09,Deep Space Nine,547.txt
8,QUARK,"   You're nice to the customers, to    the dabo girls, to the Ferengi    waiters. You're nice to everyone.         Almost everyone.",1    INT. QUARK'S QUARTERS,QUARK'S QUARTERS,INT.,Profit and Lace,1998-03-09,Deep Space Nine,547.txt
9,ALUURA,   You mean I've offended someone?,1    INT. QUARK'S QUARTERS,QUARK'S QUARTERS,INT.,Profit and Lace,1998-03-09,Deep Space Nine,547.txt
10,QUARK,"   Look closely, Aluura. Can't you    see the pain in my eyes?",1    INT. QUARK'S QUARTERS,QUARK'S QUARTERS,INT.,Profit and Lace,1998-03-09,Deep Space Nine,547.txt
11,ALUURA,   But I'm always nice to you.,1    INT. QUARK'S QUARTERS,QUARK'S QUARTERS,INT.,Profit and Lace,1998-03-09,Deep Space Nine,547.txt
12,QUARK,   I think you could be nicer.,1    INT. QUARK'S QUARTERS,QUARK'S QUARTERS,INT.,Profit and Lace,1998-03-09,Deep Space Nine,547.txt
13,ALUURA,       How much nicer?,1    INT. QUARK'S QUARTERS,QUARK'S QUARTERS,INT.,Profit and Lace,1998-03-09,Deep Space Nine,547.txt
14,ALUURA,"       ""Oo-mox for Fun and Profit.""",1    INT. QUARK'S QUARTERS,QUARK'S QUARTERS,INT.,Profit and Lace,1998-03-09,Deep Space Nine,547.txt
15,QUARK,   It's a quick read.,1    INT. QUARK'S QUARTERS,QUARK'S QUARTERS,INT.,Profit and Lace,1998-03-09,Deep Space Nine,547.txt
