,character,quote,scene,location,view,episode,date,series,file
0,SISKO ,"   Captain's Personal Log: Stardate    51247.5. It's been a week since    our return to Deep Space Nine, but    the mood of celebration continues.    We're still at war and the    station's been designated    Headquarters for the Ninth Fleet.    That, plus our strategic position    guarding the wormhole, makes D.S.    Nine one of the most tempting    targets in the entire quadrant.",2    INT. PROMENADE,PROMENADE,INT.,You Are Cordially Invited... ,1997-09-05,Deep Space Nine,531.txt
1,SISKO ,"        But for now at least, the war    seems very far away.",2    INT. PROMENADE,PROMENADE,INT.,You Are Cordially Invited... ,1997-09-05,Deep Space Nine,531.txt
2,SISKO,"   Good morning, major.",3    INT. OPS,OPS,INT.,You Are Cordially Invited... ,1997-09-05,Deep Space Nine,531.txt
3,KIRA,"   Good morning, captain.",3    INT. OPS,OPS,INT.,You Are Cordially Invited... ,1997-09-05,Deep Space Nine,531.txt
4,SISKO,   You don't know how much I missed    hearing you say that.,3    INT. OPS,OPS,INT.,You Are Cordially Invited... ,1997-09-05,Deep Space Nine,531.txt
5,KIRA,"   You don't know how much I hated    saying, ""Good morning, Dukat.""",3    INT. OPS,OPS,INT.,You Are Cordially Invited... ,1997-09-05,Deep Space Nine,531.txt
6,SISKO,   I can imagine. What's on the    agenda?,3    INT. OPS,OPS,INT.,You Are Cordially Invited... ,1997-09-05,Deep Space Nine,531.txt
7,KIRA,"        USS Potemkin has completed her    repairs and she'll rejoin the    fleet later today. Exeter,    Sutherland and Akagi have    submitted resupply requests.    And there're about a thousand    messages from Starfleet Command    awaiting your ""eyes-only""    attention.",3    INT. OPS,OPS,INT.,You Are Cordially Invited... ,1997-09-05,Deep Space Nine,531.txt
8,SISKO,   Anything else?,3    INT. OPS,OPS,INT.,You Are Cordially Invited... ,1997-09-05,Deep Space Nine,531.txt
9,KIRA,   General Martok's waiting for you   in your office.,3    INT. OPS,OPS,INT.,You Are Cordially Invited... ,1997-09-05,Deep Space Nine,531.txt
