,character,quote,scene,location,view,episode,date,series,file
0,LATHA,   I am Vedek Latha Mabrin and I    welcome you to the Calash Retreat.    Today we begin prayer and    meditation in preparation for the    Days of Atonement. May the    Prophets walk with us as we begin    our journey.,1    INT. BAJORAN CAVERN,BAJORAN CAVERN,INT.,The Darkness and the Light,1996-10-22,Deep Space Nine,509.txt
1,BASHIR,        Have you been taking your makara    herbs?,5    INT. SURGERY,SURGERY,INT.,The Darkness and the Light,1996-10-22,Deep Space Nine,509.txt
2,KIRA,   Absolutely.       Mostly.,5    INT. SURGERY,SURGERY,INT.,The Darkness and the Light,1996-10-22,Deep Space Nine,509.txt
3,BASHIR,"   Kira, you have to take them. Your    progesterone levels are way too    low.",5    INT. SURGERY,SURGERY,INT.,The Darkness and the Light,1996-10-22,Deep Space Nine,509.txt
4,KIRA,"   But when I take the herbs, the    sedatives you gave me don't work.",5    INT. SURGERY,SURGERY,INT.,The Darkness and the Light,1996-10-22,Deep Space Nine,509.txt
5,BASHIR,   The herbs do act as a counter-   agent. But I thought you said you    weren't having problems sleeping   anymore and you didn't need the    sedatives?,5    INT. SURGERY,SURGERY,INT.,The Darkness and the Light,1996-10-22,Deep Space Nine,509.txt
6,KIRA,"       I don't. But Julian, those herbs    taste like something that crawled    out of Quark's ear.",5    INT. SURGERY,SURGERY,INT.,The Darkness and the Light,1996-10-22,Deep Space Nine,509.txt
7,BASHIR,   Just take them.,5    INT. SURGERY,SURGERY,INT.,The Darkness and the Light,1996-10-22,Deep Space Nine,509.txt
8,KIRA,       All right.,5    INT. SURGERY,SURGERY,INT.,The Darkness and the Light,1996-10-22,Deep Space Nine,509.txt
9,ODO,   Major... may I have a word with    you?,5    INT. SURGERY,SURGERY,INT.,The Darkness and the Light,1996-10-22,Deep Space Nine,509.txt
10,KIRA,       Sure.,5    INT. SURGERY,SURGERY,INT.,The Darkness and the Light,1996-10-22,Deep Space Nine,509.txt
11,BASHIR,   We're finished here.,5    INT. SURGERY,SURGERY,INT.,The Darkness and the Light,1996-10-22,Deep Space Nine,509.txt
12,ODO,   I'm afraid I have bad news. One    of the former members of your    Resistance Cell has been killed on    Bajor. Latha Mabrin.,5    INT. SURGERY,SURGERY,INT.,The Darkness and the Light,1996-10-22,Deep Space Nine,509.txt
13,KIRA,   How?,5    INT. SURGERY,SURGERY,INT.,The Darkness and the Light,1996-10-22,Deep Space Nine,509.txt
14,ODO,   It appears a small hunter probe    was hidden in a ceremonial candle    and fired a disruptor blast.,5    INT. SURGERY,SURGERY,INT.,The Darkness and the Light,1996-10-22,Deep Space Nine,509.txt
15,KIRA,   Do they have any suspects?,5    INT. SURGERY,SURGERY,INT.,The Darkness and the Light,1996-10-22,Deep Space Nine,509.txt
16,ODO,"       Too many. Before he became a    Vedek, your friend was involved in    some... questionable activities.",5    INT. SURGERY,SURGERY,INT.,The Darkness and the Light,1996-10-22,Deep Space Nine,509.txt
17,KIRA,"   He used to be a smuggler and an    arms dealer. I know. Latha used    to be a... violent man. But then    he found the Prophets. The last    time I spoke with him, he'd    changed -- really changed.",5    INT. SURGERY,SURGERY,INT.,The Darkness and the Light,1996-10-22,Deep Space Nine,509.txt
18,ODO,"   I don't doubt that, Major. But it    would appear that the violence of    his past finally caught up with him.",5    INT. SURGERY,SURGERY,INT.,The Darkness and the Light,1996-10-22,Deep Space Nine,509.txt
19,KIRA,       Let me know if you hear anything    else?,5    INT. SURGERY,SURGERY,INT.,The Darkness and the Light,1996-10-22,Deep Space Nine,509.txt
20,ODO,   Of course.,5    INT. SURGERY,SURGERY,INT.,The Darkness and the Light,1996-10-22,Deep Space Nine,509.txt
21,COMPUTER,"   Major Kira, there is one message    waiting for you.",7    INT. KIRA'S ROOM - CONTINUOUS (OPTICAL),KIRA'S ROOM - CONTINUOUS,INT.,The Darkness and the Light,1996-10-22,Deep Space Nine,509.txt
