,character,quote,scene,location,view,episode,date,series,file
0,SISKO ,"   Personal Log, Stardate 47329.4.  I    finally realize why I've had trouble    sleeping the last few nights.     Yesterday was the fourth anniversary    of the massacre at Wolf three five    nine... the fourth anniversary of    Jennifer's death.",1    EXT. SPACE - DEEP SPACE NINE (OPTICAL),SPACE - DEEP SPACE NINE,EXT.,Second Sight,1993-09-28,Deep Space Nine,429.txt
1,SISKO ,       I'm not sure what bothers me more.     The date itself... or the fact that    it almost passed unnoticed.,1A   INT. SISKO'S QUARTERS,SISKO'S QUARTERS,INT.,Second Sight,1993-09-28,Deep Space Nine,429.txt
2,JAKE,   Dad... what are you doing up?,1A   INT. SISKO'S QUARTERS,SISKO'S QUARTERS,INT.,Second Sight,1993-09-28,Deep Space Nine,429.txt
3,SISKO,   I was about to ask you the same thing.,1A   INT. SISKO'S QUARTERS,SISKO'S QUARTERS,INT.,Second Sight,1993-09-28,Deep Space Nine,429.txt
4,JAKE,       I had a weird dream.,1A   INT. SISKO'S QUARTERS,SISKO'S QUARTERS,INT.,Second Sight,1993-09-28,Deep Space Nine,429.txt
5,SISKO,   Why don't you get a hot chocolate    and tell me about it?,1A   INT. SISKO'S QUARTERS,SISKO'S QUARTERS,INT.,Second Sight,1993-09-28,Deep Space Nine,429.txt
6,JAKE,"   Nah, it's nothing.",1A   INT. SISKO'S QUARTERS,SISKO'S QUARTERS,INT.,Second Sight,1993-09-28,Deep Space Nine,429.txt
7,SISKO,"   So tell me about this ""weird"" dream.",1A   INT. SISKO'S QUARTERS,SISKO'S QUARTERS,INT.,Second Sight,1993-09-28,Deep Space Nine,429.txt
8,JAKE,   it's stupid.,1A   INT. SISKO'S QUARTERS,SISKO'S QUARTERS,INT.,Second Sight,1993-09-28,Deep Space Nine,429.txt
9,SISKO,"   Maybe so, but the thing about dreams    is, if you talk about them, they    kind of go away faster.",1A   INT. SISKO'S QUARTERS,SISKO'S QUARTERS,INT.,Second Sight,1993-09-28,Deep Space Nine,429.txt
