,character,quote,scene,location,view,episode,date,series
0,JARO,"   Frankly, Commander, I'm surprised at    your reaction.",2    INT. COMMANDER'S OFFICE,COMMANDER'S OFFICE,INT.,,1993-07-12,Deep Space Nine
1,SISKO,"       Oh, I don't think much surprises    you, Minister...",2    INT. COMMANDER'S OFFICE,COMMANDER'S OFFICE,INT.,,1993-07-12,Deep Space Nine
2,JARO,   But I expected you to be celebrating!     I was under the impression that Major    Kira has been nothing but trouble to    you since...,2    INT. COMMANDER'S OFFICE,COMMANDER'S OFFICE,INT.,,1993-07-12,Deep Space Nine
3,SISKO,"    (interrupting,     investigative)   Who gave you that impression?",2    INT. COMMANDER'S OFFICE,COMMANDER'S OFFICE,INT.,,1993-07-12,Deep Space Nine
4,JARO,   It's... common knowledge.,2    INT. COMMANDER'S OFFICE,COMMANDER'S OFFICE,INT.,,1993-07-12,Deep Space Nine
5,SISKO,   Major Kira has my complete respect.     She's been invaluable in establishing    this command post.  And now she's    been dismissed without anyone    consulting me.  I don't appreciate    it.,2    INT. COMMANDER'S OFFICE,COMMANDER'S OFFICE,INT.,,1993-07-12,Deep Space Nine
6,JARO,"   Commander, Starfleet doesn't consult    us when they wish to promote one of    their officers...",2    INT. COMMANDER'S OFFICE,COMMANDER'S OFFICE,INT.,,1993-07-12,Deep Space Nine
7,SISKO,   Are you suggesting this is a promotion    for Kira... ?,2    INT. COMMANDER'S OFFICE,COMMANDER'S OFFICE,INT.,,1993-07-12,Deep Space Nine
8,JARO,"   Certainly it is.  We must find the    proper spot for her.  After all,    she's the one who brought Li Nalas    back to us.",2    INT. COMMANDER'S OFFICE,COMMANDER'S OFFICE,INT.,,1993-07-12,Deep Space Nine
9,SISKO,"   Well, then that's a different matter.",2    INT. COMMANDER'S OFFICE,COMMANDER'S OFFICE,INT.,,1993-07-12,Deep Space Nine
10,JARO,   I'm glad you see it.,2    INT. COMMANDER'S OFFICE,COMMANDER'S OFFICE,INT.,,1993-07-12,Deep Space Nine
11,SISKO,"   Yes, of course, I do.  For a minute,    I was thinking to myself... ""There's    a warm wind blowing in from Minicoy.""",2    INT. COMMANDER'S OFFICE,COMMANDER'S OFFICE,INT.,,1993-07-12,Deep Space Nine
12,JARO,   I'm sorry... ?,2    INT. COMMANDER'S OFFICE,COMMANDER'S OFFICE,INT.,,1993-07-12,Deep Space Nine
13,SISKO,"   Just an old saying where I come from.     It all started with a famous    ambassador from Minicoy who used to    bluster, exaggerate, and dissemble    to get what he wanted... not at all    like you or me... he was a bag of    hot air and everyone recognized him    for what he was.",2    INT. COMMANDER'S OFFICE,COMMANDER'S OFFICE,INT.,,1993-07-12,Deep Space Nine
14,JARO,   May I assume you are satisfied with    the assignment of Li to fill your    vacant post...,2    INT. COMMANDER'S OFFICE,COMMANDER'S OFFICE,INT.,,1993-07-12,Deep Space Nine
15,SISKO,   I thought you'd want Li to stay in    the capital to help strengthen the    provisional government...,2    INT. COMMANDER'S OFFICE,COMMANDER'S OFFICE,INT.,,1993-07-12,Deep Space Nine
16,JARO,"   Frankly, I'm not sure it's safe in    the capital... with what's going on    these days...",2    INT. COMMANDER'S OFFICE,COMMANDER'S OFFICE,INT.,,1993-07-12,Deep Space Nine
17,SISKO,   The Circle?,2    INT. COMMANDER'S OFFICE,COMMANDER'S OFFICE,INT.,,1993-07-12,Deep Space Nine
18,JARO,"       The fires and graffiti were a    nuisance.  But two days ago, one of    my fellow ministers was attacked and    beaten.  We can't risk that happening    to Li Nalas.",2    INT. COMMANDER'S OFFICE,COMMANDER'S OFFICE,INT.,,1993-07-12,Deep Space Nine
19,JARO,"   Look at it this way, Commander: We're    entrusting you with Bajor's greatest    hero.  Could you have a better liaison    officer than Li Nalas?  I think not.",2    INT. COMMANDER'S OFFICE,COMMANDER'S OFFICE,INT.,,1993-07-12,Deep Space Nine
20,O'BRIEN,"   Commander, your son's been waiting    to speak with you on the com.",2    INT. COMMANDER'S OFFICE,COMMANDER'S OFFICE,INT.,,1993-07-12,Deep Space Nine
21,SISKO,   Jake?,2    INT. COMMANDER'S OFFICE,COMMANDER'S OFFICE,INT.,,1993-07-12,Deep Space Nine
22,JAKE,   Dad?  I'm outside our quarters.     Could you come down for a minute?,2    INT. COMMANDER'S OFFICE,COMMANDER'S OFFICE,INT.,,1993-07-12,Deep Space Nine
23,SISKO,   Is something wrong?,2    INT. COMMANDER'S OFFICE,COMMANDER'S OFFICE,INT.,,1993-07-12,Deep Space Nine
24,JAKE,"   I really think you ought to come    down, Dad.",2    INT. COMMANDER'S OFFICE,COMMANDER'S OFFICE,INT.,,1993-07-12,Deep Space Nine
25,SISKO,   On my way.,2    INT. COMMANDER'S OFFICE,COMMANDER'S OFFICE,INT.,,1993-07-12,Deep Space Nine
26,SISKO,   What's the problem?,4    INT. CORRIDOR OUTSIDE SISKO'S QUARTERS,CORRIDOR OUTSIDE SISKO'S QUARTERS,INT.,,1993-07-12,Deep Space Nine
27,KIRA,       Come in.,7    INT. KIRA'S QUARTERS,KIRA'S QUARTERS,INT.,,1993-07-12,Deep Space Nine
28,ODO,   You're not.,7    INT. KIRA'S QUARTERS,KIRA'S QUARTERS,INT.,,1993-07-12,Deep Space Nine
29,KIRA,"   Leaving?  I really don't have much    choice, do I...",7    INT. KIRA'S QUARTERS,KIRA'S QUARTERS,INT.,,1993-07-12,Deep Space Nine
