,character,quote,scene,location,view,episode,date,series,file
0,LEANNE,   Jake!,1    INT. PROMENADE,PROMENADE,INT.,Life Support,1994-11-10,Deep Space Nine,459.txt
1,JAKE,   Leanne.  I thought you were on Bajor.,1    INT. PROMENADE,PROMENADE,INT.,Life Support,1994-11-10,Deep Space Nine,459.txt
2,LEANNE,"   I came back early.       You know, I was just thinking about    you.",1    INT. PROMENADE,PROMENADE,INT.,Life Support,1994-11-10,Deep Space Nine,459.txt
3,JAKE,   Really?,1    INT. PROMENADE,PROMENADE,INT.,Life Support,1994-11-10,Deep Space Nine,459.txt
4,LEANNE,   Yeah... I passed by the Klingon    restaurant and I was thinking about    the time you and I and Orak were    having dinner...,1    INT. PROMENADE,PROMENADE,INT.,Life Support,1994-11-10,Deep Space Nine,459.txt
5,JAKE,   And you ordered the gagh...,1    INT. PROMENADE,PROMENADE,INT.,Life Support,1994-11-10,Deep Space Nine,459.txt
6,JAKE,   How is Orak?  I haven't talked to    him in awhile.,1    INT. PROMENADE,PROMENADE,INT.,Life Support,1994-11-10,Deep Space Nine,459.txt
7,LEANNE,   We stopped seeing each other a few    weeks ago.,1    INT. PROMENADE,PROMENADE,INT.,Life Support,1994-11-10,Deep Space Nine,459.txt
8,JAKE,       Oh.,1    INT. PROMENADE,PROMENADE,INT.,Life Support,1994-11-10,Deep Space Nine,459.txt
9,LEANNE,   So... are you doing anything tomorrow    night?,1    INT. PROMENADE,PROMENADE,INT.,Life Support,1994-11-10,Deep Space Nine,459.txt
10,JAKE,   I'm supposed to be playing dom-jot    with Nog.,1    INT. PROMENADE,PROMENADE,INT.,Life Support,1994-11-10,Deep Space Nine,459.txt
11,JAKE,"   But they're not really firm plans.     In fact, I was thinking of canceling    them.",1    INT. PROMENADE,PROMENADE,INT.,Life Support,1994-11-10,Deep Space Nine,459.txt
12,LEANNE,   Really?  Well... if you do cancel...    would you be interested in... dinner?,1    INT. PROMENADE,PROMENADE,INT.,Life Support,1994-11-10,Deep Space Nine,459.txt
13,JAKE,       Sure.,1    INT. PROMENADE,PROMENADE,INT.,Life Support,1994-11-10,Deep Space Nine,459.txt
14,LEANNE,   Great.  How 'bout eighteen hundred    at the Klingon restaurant?,1    INT. PROMENADE,PROMENADE,INT.,Life Support,1994-11-10,Deep Space Nine,459.txt
15,JAKE,   I'll be there.  But this time we'll    skip the gagh.,1    INT. PROMENADE,PROMENADE,INT.,Life Support,1994-11-10,Deep Space Nine,459.txt
16,LEANNE,   Definitely.  See you then.,1    INT. PROMENADE,PROMENADE,INT.,Life Support,1994-11-10,Deep Space Nine,459.txt
17,ODO,   Look out!,1    INT. PROMENADE,PROMENADE,INT.,Life Support,1994-11-10,Deep Space Nine,459.txt
18,O'BRIEN,   Move aside!,1    INT. PROMENADE,PROMENADE,INT.,Life Support,1994-11-10,Deep Space Nine,459.txt
19,BASHIR,   What do we have?,2    INT. AIRLOCK,AIRLOCK,INT.,Life Support,1994-11-10,Deep Space Nine,459.txt
20,O'BRIEN,   Bajoran transport coming in.  They    said there was some kind of accident    on board and they've got casualties.,2    INT. AIRLOCK,AIRLOCK,INT.,Life Support,1994-11-10,Deep Space Nine,459.txt
21,ODO,       They're docking...,2    INT. AIRLOCK,AIRLOCK,INT.,Life Support,1994-11-10,Deep Space Nine,459.txt
22,BASHIR,   We should've beamed the wounded    directly to the Infirmary.,2    INT. AIRLOCK,AIRLOCK,INT.,Life Support,1994-11-10,Deep Space Nine,459.txt
23,O'BRIEN,       They have a loose plasma coil.  We    couldn't beam through the radiation.,2    INT. AIRLOCK,AIRLOCK,INT.,Life Support,1994-11-10,Deep Space Nine,459.txt
24,ODO,       Docking clamps secure.  I'm opening    the airlock.  Stand back.,2    INT. AIRLOCK,AIRLOCK,INT.,Life Support,1994-11-10,Deep Space Nine,459.txt
25,O'BRIEN,       Come on.,2    INT. AIRLOCK,AIRLOCK,INT.,Life Support,1994-11-10,Deep Space Nine,459.txt
26,ODO,       It's going to be all right...,2    INT. AIRLOCK,AIRLOCK,INT.,Life Support,1994-11-10,Deep Space Nine,459.txt
