,character,quote,episode
0,WORF,"   -- as time passes, a boy   inevitably becomes a man. What is   not inevitable, is that a man   become a warrior. A warrior must   be forged like a sword, tempered   by...       -- by experience. The path of the   warrior begins --","""Firstborn"""
1,WORF,   Alexander --,"""Firstborn"""
2,WORF,   Come in.,"""Firstborn"""
3,ALEXANDER,"   No, wait --","""Firstborn"""
4,ERIC,   Sorry. I didn't mean to hit you.,"""Firstborn"""
5,WORF,   What is the meaning of this?,"""Firstborn"""
6,ALEXANDER,   I'm sorry. We made Fullerenes in   chemistry class and filled them   with water --,"""Firstborn"""
7,WORF,   I asked you to meet me here after   school. I have been waiting for   you.,"""Firstborn"""
8,ALEXANDER,   I forgot.,"""Firstborn"""
9,WORF,   You forgot because you allowed   yourself to be distracted by   foolishness.,"""Firstborn"""
10,ALEXANDER,   I'm sorry.,"""Firstborn"""
11,WORF,   There is something important I   want to discuss with you.,"""Firstborn"""
12,WORF,"       As time passes, a boy inevitably   becomes a man. What is not   inevitable, is that a man become   a sword --","""Firstborn"""
13,ALEXANDER,   What?,"""Firstborn"""
14,WORF,   I meant warrior...,"""Firstborn"""
15,WORF,       The path of the warrior begins   with the First Rite of Ascension.,"""Firstborn"""
16,ALEXANDER,   Is that where they hit you with   pain sticks?,"""Firstborn"""
17,WORF,"   No, that is the Second Rite.","""Firstborn"""
18,ALEXANDER,   Oh...,"""Firstborn"""
19,WORF,   You are approaching the age of   ascension... it is time for you to   prepare for the ceremony.,"""Firstborn"""
20,ALEXANDER,       What do I have to do?,"""Firstborn"""
21,WORF,"   Your fighting skills will be   tested... and your knowledge of   the teachings of Kahless. It is   very challenging, but I will help   you prepare.","""Firstborn"""
22,WORF,       This is a kor'tova candle... it   represents the fire that burns in   a warrior's heart.,"""Firstborn"""
23,WORF,"       When you light yours, you will be   declaring your intention to become   a warrior.","""Firstborn"""
24,WORF,       Go ahead.,"""Firstborn"""
25,ALEXANDER,   What if... I don't want to?,"""Firstborn"""
26,WORF,"   If you do not participate in the   rite before you are thirteen years   of age, you will never be able to   become a true Klingon warrior.","""Firstborn"""
27,ALEXANDER,   I don't care about that...,"""Firstborn"""
28,WORF,"   You may not care now, but someday   you might.","""Firstborn"""
29,ALEXANDER,   Mother always said that I didn't   have to do any of this Klingon   stuff if I didn't want to.,"""Firstborn"""
30,WORF,   It is your decision... but --,"""Firstborn"""
31,ALEXANDER,"   Good, then I'm not going to do it.","""Firstborn"""
32,WORF,   Alexander --,"""Firstborn"""
33,ALEXANDER,   You just said it was up to me.   And I don't want to be a warrior.,"""Firstborn"""
