,character,quote,episode
0,GEORDI,"   Data, there you are... we need to   install that plasma conduit right   away. We're bringing the new warp   core on-line in less than three   hours.","""Phantasms"""
1,DATA,   I will go to deck twenty and begin   modifications.,"""Phantasms"""
2,GEORDI,   Great. Meet me in Engineering as   soon as you're finished.       This should be a lot of fun.,"""Phantasms"""
3,DATA,   Excuse me. Do you have   authorization to work in this   area?,"""Phantasms"""
4,DATA,       You are dismantling a warp plasma   conduit. I must ask you to stop.,"""Phantasms"""
5,WORKMAN,   Be quiet!,"""Phantasms"""
6,PICARD ,"   Captain's Log, Stardate 47225.7.   Commander La Forge has completed   the installation of our new warp   core. We are preparing to test   its capabilities.","""Phantasms"""
7,RIKER,"   Something wrong, sir?","""Phantasms"""
8,PICARD,   I just got a message from   Starfleet command.,"""Phantasms"""
9,RIKER,   Bad news?,"""Phantasms"""
10,PICARD,   You could say that...,"""Phantasms"""
11,PICARD,       I've been invited to the annual   Starfleet Admiral's banquet.,"""Phantasms"""
12,RIKER,   My condolences.,"""Phantasms"""
13,PICARD,   I've managed to avoid it for the   last six years. I guess my luck   just ran out...     ,"""Phantasms"""
14,,,"""Phantasms"""
15,PICARD ,"       I can't imagine anything more   tedious. Fifty Admirals shaking   hands, making dull conversation...   uninteresting food... boring   speeches...","""Phantasms"""
16,RIKER,   Can't you find an excuse not to   go?,"""Phantasms"""
17,PICARD,"   After six years, I don't have any   excuses left. Besides, I've been   invited by Admiral Nakamura, the   Sector Commander. He'd consider   it an insult if I turned him down.","""Phantasms"""
18,RIKER,       We could cause a diplomatic   crisis. Take the ship into the   neutral zone and attack the   Romulans... that should get you   out of the banquet.,"""Phantasms"""
19,PICARD,       I wouldn't count on it.,"""Phantasms"""
20,DATA,   Have you ever had nightmares   before?,"""Phantasms"""
21,GEORDI,   Sure. Everybody does from time to   time...,"""Phantasms"""
22,DATA,"   I have had one hundred eleven   dreams since I first discovered   the program nine months ago. In   all of that time, I have never   experienced such strange and   disturbing imagery in a dream.       I believe it was... a nightmare.","""Phantasms"""
23,GEORDI,"   Nightmares are part of dreaming,   Data. Maybe you just discovered   a new level to your program.","""Phantasms"""
24,DATA,   Perhaps. I have also noted that   I am spending an inordinate amount   of time thinking about nightmare   imagery. One could almost say   that I am... preoccupied.,"""Phantasms"""
25,GEORDI,"   Well, that's perfectly normal.   When I have a nightmare, sometimes   I can't shake that weird feeling   for days...","""Phantasms"""
26,TYLER,   Commander La Forge!,"""Phantasms"""
27,GEORDI,   Speaking of nightmares...,"""Phantasms"""
28,TYLER,       I just finished recalibrating the   starboard EPS module.,"""Phantasms"""
29,GEORDI,"   That's great. Thank you, Ensign.","""Phantasms"""
30,TYLER,   It's just like you said -- reset   the power tap... and the module   came right on-line. You have such   a wonderful grasp of engineering   principles. I'm learning so much   just by being around you...,"""Phantasms"""
31,GEORDI,   Well. Ah... why don't you go help   Farrel check the deuterium   cartridges. We're about to bring   the warp core on-line.,"""Phantasms"""
32,TYLER,   Anything you say.,"""Phantasms"""
33,DATA,"   Geordi, you do not seem to   appreciate Ensign Tyler's   enthusiasm.","""Phantasms"""
34,GEORDI,"   Oh, she's enthusiastic all   right... about me.","""Phantasms"""
35,DATA,   I do not understand.,"""Phantasms"""
36,GEORDI,"   She has a crush on me, Data.","""Phantasms"""
37,DATA,   And you do not share her   affection?,"""Phantasms"""
38,GEORDI,"   Frankly, no. And it's getting a   little awkward...","""Phantasms"""
39,DATA,   I believe I understand. You are   concerned about unintentionally   hurting Ensign Tyler's feelings.,"""Phantasms"""
40,GEORDI,   Yeah... something like that...,"""Phantasms"""
41,DATA,   It would appear that you require   a third party to intervene on your   behalf. I would be happy to speak   to her.,"""Phantasms"""
42,GEORDI,"       No, Data... I'll take care of it   myself. Thanks.","""Phantasms"""
43,DATA,"   When I first woke up from my   nightmare, there --","""Phantasms"""
44,PICARD,   Bridge to Commander La Forge.   What's our status?,"""Phantasms"""
45,GEORDI,"       We're ready to bring the core on-line,   Captain. Stand by.       All right. Let's do it.","""Phantasms"""
46,GEORDI,   Initializing deuterium infusion   sequence...,"""Phantasms"""
47,GEORDI,"       It's a beauty, isn't it? Now   let's see how fast she can run...     ","""Phantasms"""
48,,,"""Phantasms"""
49,GEORDI ,"       La Forge to Bridge. Warp power at   your discretion, Captain.","""Phantasms"""
50,PICARD,"   Acknowledged.       Ensign Russell, plot a course to   Starbase Two-nineteen. Warp six.","""Phantasms"""
51,PICARD,       Engage.,"""Phantasms"""
52,PICARD,"    (continuing, a little     louder)   Engage...","""Phantasms"""
53,PICARD,       Bridge to Engineering. Mister La   Forge... why isn't my ship moving?,"""Phantasms"""
54,GEORDI,"   I'm on it, sir. There's a warp   plasma conduit out of alignment,   but I think I've fixed it...       Ready, sir.","""Phantasms"""
55,PICARD,   Very well. Ensign Russell?,"""Phantasms"""
56,PICARD,   Mister La Forge?,"""Phantasms"""
57,GEORDI,"   Stand by, Captain...","""Phantasms"""
58,DATA,   I will take the warp engines off-line.,"""Phantasms"""
59,GEORDI,"       La Forge to Bridge. I'm sorry,   Captain. We're going to have to   reconfigure the plasma conduit.   It's going to take a few hours at   least, sir.","""Phantasms"""
60,DATA,   Enter.,"""Phantasms"""
61,TROI,"   Hello, Data...","""Phantasms"""
62,TROI,       What are you doing?,"""Phantasms"""
63,DATA,"   I am watching Spot sleep. In the   past fifteen minutes, he has had   twelve muscles spasms, which   indicates that he is dreaming.       I have often wondered what he   dreams about. His twitching and   his rapid breathing would seem to   suggest anxiety -- but Spot has   never seen a mouse or any other   form of rodentia. Nor has he   encountered an insect, or been   chased by a canine.","""Phantasms"""
64,TROI,       I understand you've had some   interesting dreams lately...       Geordi was a little worried about   you. He just wanted me to check   in and see how you were doing...,"""Phantasms"""
65,DATA,   That was very thoughtful of him.       I have been debating whether or   not to initiate another dream   sequence.,"""Phantasms"""
66,TROI,   Because of the nightmares... ?,"""Phantasms"""
67,DATA,       I have found them to be quite...   unsettling.,"""Phantasms"""
68,TROI,"   Data, you shouldn't be afraid to   experience dark imagery in your   dreams. It's a natural expression   of your unconscious...       ... if you have an unconscious.   I'm not really sure how your   positronic brain works... but if   it's anything like our brains,   then there's part of you that's   trying to express itself through   your dream state. And I think you   should allow yourself to   experience it.       As Sigmund Freud would have   said... ""Dreams are the royal   road to the knowledge of the   mind.""","""Phantasms"""
69,DATA,"   Thank you, Counselor. I believe   I will initialize the dream   program now.","""Phantasms"""
70,TROI,"       Let me know how it goes. Good   night, Data.","""Phantasms"""
71,DATA,"   Good night, Counselor.","""Phantasms"""
72,DATA,"       Good night, Spot.","""Phantasms"""
73,DATA,       Computer -- dim lights.,"""Phantasms"""
74,WORF,   Mmm. It is delicious.,"""Phantasms"""
75,DATA,   What kind of cake are you eating?,"""Phantasms"""
76,WORF,       It is cellular peptide cake...   with mint frosting. Would you   like a bite?,"""Phantasms"""
77,DATA,"   No, thank you.","""Phantasms"""
78,DATA,"       Excuse me, Mister Worf.","""Phantasms"""
79,RIKER,"       Aren't you going to answer that,   Mister Data?","""Phantasms"""
80,DATA,   Sir?,"""Phantasms"""
81,RIKER,"   That damn ringing. Answer it,   will you?","""Phantasms"""
82,DATA,   Yes sir.,"""Phantasms"""
83,DATA,       Please identify yourselves.,"""Phantasms"""
84,DATA,       I must know what you are trying to --,"""Phantasms"""
85,WORKMAN,   Be quiet!,"""Phantasms"""
86,DATA,   Counselor...,"""Phantasms"""
87,TROI,"       Data, please... don't hurt me..","""Phantasms"""
88,DATA,"   I am sorry, Counselor.","""Phantasms"""
