,character,quote,episode
0,RIKER,       Geordi... Have you found it yet?,"""Interface"""
1,GEORDI,   Not yet...,"""Interface"""
2,GEORDI,"       Starting to get fumes... Ammonia,   fluorine, potassium cyanide...","""Interface"""
3,GEORDI,       I can feel the heat from here.,"""Interface"""
4,GEORDI,       There it is!,"""Interface"""
5,RIKER,   How far?,"""Interface"""
6,GEORDI,   About ten meters. Along the ODN   line. It's hot -- over two   thousand degrees.       I'm going in.,"""Interface"""
7,RIKER,"   Geordi, wait.","""Interface"""
8,GEORDI,   We're okay... I've activated the   emergency supression system.,"""Interface"""
9,GEORDI,       It's under control.,"""Interface"""
10,BEVERLY,       All his vital functions are   completely normal.,"""Interface"""
11,DATA,   The interface unit is operating   within expected parameters.,"""Interface"""
12,RIKER,   Why did he start coughing when he   went through the gasses?,"""Interface"""
13,BEVERLY,       Psychosomatic response.,"""Interface"""
14,GEORDI,   I feel like I'm actually here...   I mean there -- in the Jefferies   tube. I saw the smoke and I   couldn't help coughing.,"""Interface"""
15,DATA,   No one else has reported so   complete a sensory experience.,"""Interface"""
16,BEVERLY,   The interface is perfect for   Geordi because his VISOR inputs   allow the probe to transmit   information directly into his   cerebral cortex.,"""Interface"""
17,RIKER,   It looks like this is going to   work. Let's get the probe out of   the Jefferies tube and into the   launch bay before we reach Marijne   Seven.,"""Interface"""
18,GEORDI,   Will do...,"""Interface"""
19,GEORDI,   Something's wrong. I'm having   trouble controlling my left leg.,"""Interface"""
20,RIKER,       What is it?,"""Interface"""
21,BEVERLY,"   The probe is designed to respond   to the movements Geordi intends to   make -- when his brain sends a   message to move his leg, the   interface moves the probe instead.","""Interface"""
22,DATA,   Apparently the gain on the tactile   sensors is too low; I will   increase the input.,"""Interface"""
23,GEORDI,   There it goes.,"""Interface"""
24,GEORDI,   I'm on my way down.,"""Interface"""
25,RIKER,   Why the body-suit?,"""Interface"""
26,DATA,   It provides tactile sensations so   that Geordi will feel as if he is   in the same environment as the   probe.,"""Interface"""
27,BEVERLY,   What's wrong?,"""Interface"""
28,GEORDI,   Nothing...,"""Interface"""
29,GEORDI,       I just saw my reflection in a   panel.       I forgot what a handsome guy I am.,"""Interface"""
30,PICARD ,"   Captain's Log, Stardate 47215.5.   We are responding to a distress   call from the science vessel   Raman, which is apparently trapped   inside the turbulent atmosphere of   an unusual gas giant planet. We   will use an experimental interface   probe in our attempt to rescue it.","""Interface"""
31,DATA,"   I have reviewed the vessel's   mission plans. The Raman was to   descend to the lower atmosphere,   eleven thousand kilometers below   its current position...","""Interface"""
32,DATA,"       The crew was to sample the   atmosphere at that level, and then   return to a safer orbit.","""Interface"""
33,GEORDI,"   Something must have happened down   there. Maybe the shields failed,   or they had an inversion reaction   in the nacelles.","""Interface"""
34,PICARD,   Any life signs?,"""Interface"""
35,GEORDI,   Our bio-sensors are useless --   there's too much interference in   the atmosphere.,"""Interface"""
36,RIKER,   The crew might still be alive.   But we'll never be able to tell   from up here.,"""Interface"""
37,PICARD,   Will the probe be able to transmit   through the interference?,"""Interface"""
38,DATA,   The probe sends information via a   focused particle beam that should   be able to cut through the   interference.,"""Interface"""
39,GEORDI,   But we may have to operate the   interface at near tolerance   levels.,"""Interface"""
40,PICARD,   Will your nervous system be able   to handle that much sensory input?,"""Interface"""
41,GEORDI,       We've tested the interface at up   to seventy percent of tolerance.,"""Interface"""
42,RIKER,   There shouldn't be a problem going   higher -- the safety override will   kick in at ninety-eight percent   tolerance and disengage the   interface.,"""Interface"""
43,WORF,"   Captain, I am receiving a   transmission from Starfleet   Command -- Admiral Holt.","""Interface"""
44,PICARD,   In my Ready Room.,"""Interface"""
45,PICARD,       The seven people on that ship are   our first priority. Is the probe   ready for launch?,"""Interface"""
46,DATA,"   Yes, Sir.","""Interface"""
47,PICARD,"   Send it directly to the aft   section of the Raman, through the   secondary air lock. That'll put   it one bulkhead away from the   Bridge.","""Interface"""
48,GEORDI,   I'll interface with the probe as   soon as it's in place and take it   in the rest of the way.,"""Interface"""
49,PICARD,   Make it so.,"""Interface"""
50,PICARD,   Onscreen.,"""Interface"""
51,PICARD,"       Hello, Marcus.","""Interface"""
52,ADMIRAL HOLT,   Jean-Luc.,"""Interface"""
53,PICARD,   How's life on DS-Three?,"""Interface"""
54,ADMIRAL HOLT,   We're hosting this year's palio.   The Ferengi have already been   accused of trying to bribe the   Breen pilot into throwing the   race...,"""Interface"""
55,PICARD,   Nothing unusual about that.,"""Interface"""
56,ADMIRAL HOLT,       Nothing at all...,"""Interface"""
57,ADMIRAL HOLT,"       I wish I could say I was just   calling to catch up on things.       Nine days ago, the Hera left here   on a routine courier mission. We   were in contact with them for five   of those days. Then the ship   disappeared without a trace.","""Interface"""
58,PICARD,   The Hera?,"""Interface"""
59,ADMIRAL HOLT,   I'm afraid so.,"""Interface"""
60,ADMIRAL HOLT,"   The Excelsior and the Noble have   spent the last seventy-two hours   retracing its course. Nothing.   I'm going to keep them at it for   seventy-two more.       But to be honest, I don't think   another week would make any   difference.","""Interface"""
61,PICARD,   I'll tell Commander La Forge...,"""Interface"""
62,PICARD,"   Mister Data, I need a word with   Commander La Forge.","""Interface"""
63,DATA,"   Yes, Sir.       I will be on the Bridge.","""Interface"""
64,PICARD,   I've just spoken to Starfleet.       The Hera is missing.,"""Interface"""
65,GEORDI,   Missing... ?,"""Interface"""
66,GEORDI,   What about my mother... ?,"""Interface"""
67,PICARD,   Captain La Forge has disappeared   along with the rest of her crew...,"""Interface"""
68,SILVA LA FORGE,   -- I saw your father last week and   your sister about ten days before   that. I decided I missed my   favorite son...,"""Interface"""
69,GEORDI,"       Your only son, Mom...","""Interface"""
70,SILVA LA FORGE,"       You're going to have to see the   Hera again. We've got a lot of   new faces on board. Including a   chief engineer who juices up the   nacelles every chance she gets.   I think she's the best technician   in the fleet.       Okay, second best.","""Interface"""
71,GEORDI,   Come in...,"""Interface"""
72,RIKER,   I didn't mean to interrupt.,"""Interface"""
73,GEORDI,   Don't worry about it.,"""Interface"""
74,SILVA LA FORGE,   Maybe you should meet her. We're   going to be in the same sector   next week. Take a shuttle over   and I'll introduce you.,"""Interface"""
75,GEORDI,       Mom's always trying to find me a   wife.,"""Interface"""
76,SILVA LA FORGE,"   But if you're too busy, I'll see   you at your father's birthday   party. Remember, if you talk to   him -- it's a surprise.","""Interface"""
77,GEORDI,       This came in about three weeks   ago.       I never got back to her...,"""Interface"""
78,RIKER,"       Geordi, the probe has entered the   planet's atmosphere. I'm ready to   move it inside the ship.       If you want to take a couple of   days off, I'll run the interface.","""Interface"""
79,GEORDI,   The interface is calibrated   specifically for my VISOR inputs.   You'd need at least ten hours to   convert it. Those crewmen down   there can't wait...,"""Interface"""
80,RIKER,"   The interface doesn't have to be   fully compatible. I could use it   right now. I wouldn't have the   control you'd have, but it would   still work.","""Interface"""
81,GEORDI,"   Forget it. I'm the best one for   the job, and there's no reason not   to go ahead as planned.","""Interface"""
82,RIKER,       The Hera is reason enough.,"""Interface"""
83,GEORDI,"   The Hera is missing. That's all.   Until I hear something more, my   mother might just as well have   taken the crew on an unscheduled   holiday.","""Interface"""
84,GEORDI,       Let's go.,"""Interface"""
85,RIKER,"   Sir, the probe is through the   airlock and in position aboard the   Raman.","""Interface"""
86,PICARD,   Picard to Commander Data. Report.,"""Interface"""
87,DATA,       We are ready to bring the   interface on line.,"""Interface"""
88,PICARD,   Proceed.,"""Interface"""
89,DATA,   Activating the remote sensors...,"""Interface"""
90,DATA,       Initiating interface... now.,"""Interface"""
91,BEVERLY,"       Vital signs normal... How do you   feel, Geordi?","""Interface"""
92,GEORDI,   Fine...,"""Interface"""
93,DATA,   Do you have visual contact?,"""Interface"""
94,GEORDI,   Not yet...,"""Interface"""
95,GEORDI,"   Increase the input signal, Data.   I'm not seeing anything...","""Interface"""
96,DATA,   Acknowledged.,"""Interface"""
97,GEORDI,   I can see. But no colors.,"""Interface"""
98,DATA,   Increasing signal strength of   seventy-five percent of tolerance.,"""Interface"""
99,GEORDI,   That's better.,"""Interface"""
100,BEVERLY,   Your pulse has gone up...,"""Interface"""
101,BEVERLY,   It might take your nervous system   a little while to get used to this   input level.,"""Interface"""
102,GEORDI,"   I'm excited, that's all. This is   like being on a roller coaster.","""Interface"""
103,GEORDI,       Or a first date... Everything's   okay.,"""Interface"""
104,BEVERLY,"       I'll be the judge of that, Geordi.   If your heart rate goes too high,   we'll disconnect you.","""Interface"""
105,GEORDI,   Understood. But don't pull the   plug yet...,"""Interface"""
106,GEORDI,       It's a mess in here. There must   be a hull breach somewhere. I'm   picking up atmospheric gasses   inside the corridor -- methane and   ammonia primarily.,"""Interface"""
107,GEORDI,       I'm heading toward the Bridge.,"""Interface"""
108,GEORDI,       It's getting worse the closer I   get. The break in the hull might   be on the Bridge itself.,"""Interface"""
109,GEORDI,       I found somebody!,"""Interface"""
110,DATA,   What is your position?,"""Interface"""
111,GEORDI,   About twelve meters up the main   corridor! A section of the   bulkhead collapsed on top of him.,"""Interface"""
112,GEORDI,       I can't move it. I need more   power to the tractor beams.,"""Interface"""
113,BEVERLY,   Go to eighty percent of tolerance --   no higher.,"""Interface"""
114,GEORDI,   He looks pretty bad.,"""Interface"""
115,GEORDI,       He's dead.,"""Interface"""
116,GEORDI,"       Data, the door halfway down the   left corridor... what's it lead   to?","""Interface"""
117,DATA,   A magnetic storage bay.,"""Interface"""
118,GEORDI,"       If there was a breach on the   Bridge, that would be the safest   place to go.","""Interface"""
119,GEORDI,"       Data, I need a phaser burst. Wide   focus, level four intensity.","""Interface"""
120,GEORDI,   I've found them!,"""Interface"""
121,GEORDI,       They're dead... all of them.,"""Interface"""
122,GEORDI,       There's a fire in here...,"""Interface"""
123,BEVERLY,   Data! Disconnect him!,"""Interface"""
124,BEVERLY,       What happened?,"""Interface"""
125,GEORDI,       I don't know... My hands...,"""Interface"""
126,BEVERLY,       They're burned...,"""Interface"""
127,PICARD,   How did this happen?,"""Interface"""
128,BEVERLY,   There was some kind of energy   discharge in the interface suit.,"""Interface"""
129,PICARD,   Shouldn't the safety over-rides   have prevented that?,"""Interface"""
130,BEVERLY,   Yes... but I have a theory why   they didn't.,"""Interface"""
131,BEVERLY,   The tolerance levels on the   interface were set extremely high.   I think Geordi's neural response   to the input was so strong that it   created a feedback loop.,"""Interface"""
132,GEORDI,   The sensors that were transmitting   the sensation of heat to my hands   must've overloaded.,"""Interface"""
133,BEVERLY,"   I know it seems hard to believe,   but the probe was sending huge   amounts of sensory data directly   into Geordi's brain. The   tolerance levels on the interface   were set extremely high.","""Interface"""
134,PICARD,"   The Raman's crew is dead. I'd   like to retrieve their vessel, but   not if it means risking Geordi's   safety.","""Interface"""
135,GEORDI,"   If we turn down the sensory input   from the probe, I should be fine.","""Interface"""
136,GEORDI,       Seven people lost their lives down   there... we should at least   retrieve the data they were   collecting. Otherwise their   deaths won't have any meaning.,"""Interface"""
