,character,quote,episode
0,PICARD ,"   Captain's log, stardate 45854.2.   The Enterprise is charting six   star systems that make up the   Argolis cluster, an area being   considered for colonization.","""I, Borg"""
1,RIKER,   Very impressive...,"""I, Borg"""
2,TROI,   It's beautiful... and frightening   at the same time.,"""I, Borg"""
3,DATA,       Radiation bursts from the star's   surface are making precise sensor   readings difficult. It seems to   be exhibiting gravitational   instability.,"""I, Borg"""
4,DATA,   The star's fluctuations are too   severe. It would be impossible   to settle any of the planets   in this system.,"""I, Borg"""
5,DATA,   I suggest we proceed to the next   system. Its sun is a stable main   sequence star.,"""I, Borg"""
6,PICARD,"   In a moment, Mister Data.","""I, Borg"""
7,DATA,"   Sir, I am detecting a   transmission... emanating from   within this system","""I, Borg"""
8,RIKER,   What kind of signal?,"""I, Borg"""
9,DATA,   It is self-repeating... of unknown   pattern.,"""I, Borg"""
10,PICARD,   Where is it coming from?,"""I, Borg"""
11,DATA,   A small moon orbiting the fourth   planet.,"""I, Borg"""
12,PICARD,   Life signs?,"""I, Borg"""
13,DATA,"   Indeterminate. I am attempting   to screen out sensor   interference...    (he manipulates a few     controls)   Readings are still inconclusive;   however, the moon's atmosphere is   capable of supporting life.","""I, Borg"""
14,RIKER,   Then it could be a distress call.,"""I, Borg"""
15,RIKER,"   Helm, take us into transport   range.       Doctor Crusher, we need a medical   away team in transporter room two.","""I, Borg"""
16,BEVERLY,   Acknowledged.,"""I, Borg"""
17,BEVERLY,   I'm reading one life form... very   weak signs.,"""I, Borg"""
18,RIKER,   Riker to Enterprise.,"""I, Borg"""
19,PICARD,"   Go ahead, Number One.","""I, Borg"""
20,RIKER,   We've found the wreckage of a   small craft... and one survivor.,"""I, Borg"""
21,RIKER,   It's a Borg.,"""I, Borg"""
22,RIKER,"       Male, adolescent -- he's badly   hurt.","""I, Borg"""
23,DATA,   There is no indication of other   Borg activity within sensor range.,"""I, Borg"""
24,PICARD,"   Away team, prepare to return to   the ship.","""I, Borg"""
25,BEVERLY,"   We can't leave him here, he won't   survive.","""I, Borg"""
26,RIKER,   I think the captain understands   that.,"""I, Borg"""
27,BEVERLY,   Then I don't.,"""I, Borg"""
28,RIKER,   The Borg usually collect their   dead --,"""I, Borg"""
29,BEVERLY,   He's not dead --,"""I, Borg"""
30,RIKER,   And that transmission --,"""I, Borg"""
31,BEVERLY,   -- at least not yet --,"""I, Borg"""
32,RIKER,   That transmission we intercepted   was probably a homing signal.   We have to assume they're on their   way.,"""I, Borg"""
33,BEVERLY,"       At least let me stabilize his   condition, give him a chance of   surviving until they get here.","""I, Borg"""
34,RIKER,   Captain?,"""I, Borg"""
35,PICARD,"   Your concern is noted, Doctor.   But any intervention on your part   would only alert the Borg to our   having been here.","""I, Borg"""
36,BEVERLY,   I'm afraid we've already turned   that corner.,"""I, Borg"""
37,WORF,   Kill it. Now. We could make it   appear that it died in the crash   -- leave no evidence that we were   here.,"""I, Borg"""
38,PICARD,   Security measures must be taken   before we beam it on board.,"""I, Borg"""
39,BEVERLY,   Standing by...,"""I, Borg"""
40,PICARD,"   Mister Data, notify security to   prepare a detention cell.       Bridge to engineering.","""I, Borg"""
41,GEORDI,   La Forge here.,"""I, Borg"""
42,PICARD,   We're bringing a Borg survivor   on board. We'll need to   neutralize the homing signal --,"""I, Borg"""
43,PICARD,       -- prevent it from sending or   receiving transmissions of any   kind.,"""I, Borg"""
44,GEORDI,   I'll set up a subspace damping   field around the detention cell.,"""I, Borg"""
45,WORF,   There are four others. None   survived.,"""I, Borg"""
46,PICARD,   Picard to Riker.,"""I, Borg"""
47,RIKER,"   Go ahead, Enterprise.","""I, Borg"""
48,PICARD,   We're transporting you directly   to the detention cell.,"""I, Borg"""
49,BEVERLY,   I need him in sickbay --,"""I, Borg"""
50,PICARD,"   The cell, Doctor. Whatever   equipment you need will be brought   to you there.","""I, Borg"""
51,BEVERLY,   Very well.,"""I, Borg"""
52,PICARD,   Come.,"""I, Borg"""
53,TROI,   Captain... I just wondered if   there's anything you wanted to   talk about.,"""I, Borg"""
54,PICARD,"   I don't think so, Counselor.","""I, Borg"""
55,TROI,   I would have thought that   having a Borg on the ship would   stir some feelings...,"""I, Borg"""
56,PICARD,"   I am quite recovered from my   experience, thank you.","""I, Borg"""
57,TROI,"   Sometimes... even when a victim   has dealt with his assault...   there are residual effects of the   event that linger. You were   treated violently by the Borg...   kidnapped, assaulted, mutilated   --","""I, Borg"""
58,PICARD,   Counselor --,"""I, Borg"""
59,PICARD,"   Counselor, I very much appreciate   your concern for me. But I assure   you, it is misplaced.","""I, Borg"""
60,PICARD,"   I have carefully considered the   implications of having this Borg   on the ship. I have weighed the   possible risks, and I am convinced   we've done the right thing.       I am quite comfortable with my   decision.","""I, Borg"""
61,TROI,"   I see. Well, if at any point you   want to talk more...","""I, Borg"""
62,PICARD,   I will certainly avail myself of   your help.,"""I, Borg"""
63,WORF,       Lower the force field.,"""I, Borg"""
64,WORF,"   Captain, the Borg is still   unconscious.","""I, Borg"""
65,BEVERLY,"   He suffered massive internal   injuries. We've got the   hemorrhaging under control, but   some of the implants in his brain   were damaged. I may have to   remove them.","""I, Borg"""
66,PICARD,   The Borg will die if they're   removed permanently. Their brains   grow dependent on the biochips.,"""I, Borg"""
67,BEVERLY,   Perhaps Geordi could construct   new implants...,"""I, Borg"""
68,GEORDI,"   They contain relatively   straightforward programming,   interface protocols... we have   the files we downloaded after your   experience, sir. I think I could   manage it.","""I, Borg"""
69,PICARD,   Mister La Forge... do you have   enought knowledge of Borg   programming to alter the pathways   to the root command structure?,"""I, Borg"""
70,GEORDI,"   I'm not sure, sir. The   subroutines are pretty   complicated... I'd probably have   to study their data processing   algorithms... that's the only way   I could trace the access codes.","""I, Borg"""
71,PICARD,   If we could get to the root   command... we could introduce an   invasive programming sequence   through its biochip system...   and then return it to the hive.,"""I, Borg"""
72,GEORDI,       The Borg are so interconnected   it would spread like a virus.,"""I, Borg"""
73,PICARD,   Until it infected the entire   Collective. We could disable   their neural network in one   stroke.,"""I, Borg"""
74,BEVERLY,   Infected... it sounds like you're   talking about a disease.,"""I, Borg"""
75,PICARD,"   Quite right, Doctor. And if all   goes well, a terminal one.","""I, Borg"""
76,GEORDI,"   If this works the way I think it   will, once the invasive program   starts spreading, it'll only be   a matter of months before the Borg   suffer total systems failure.","""I, Borg"""
77,PICARD,   Comments.,"""I, Borg"""
78,BEVERLY,"   A question. What, exactly, is   ""total systems failure?""","""I, Borg"""
79,DATA,   The Borg are extremely   computer-dependent. A total   systems failure will destroy   them.,"""I, Borg"""
80,BEVERLY,   I just think we should be plain   about that. We're talking about   annihilating an entire race...,"""I, Borg"""
81,PICARD,"   Which under most circumstances   would be unconscionable. But as   I see it, the Borg leave us little   choice.","""I, Borg"""
82,RIKER,   I agree. We're at war.,"""I, Borg"""
83,BEVERLY,   There's been no formal declaration   of war...,"""I, Borg"""
84,TROI,   Not from our side. But certainly   from theirs. They've attacked   us in every encounter we've had.,"""I, Borg"""
85,PICARD,   They have declared war on our way   of life. We are to be   assimilated.,"""I, Borg"""
86,BEVERLY,"   Even in war, there are rules.   You don't kill civilians   indiscriminately.","""I, Borg"""
87,RIKER,   There are no civilians among the   Borg.,"""I, Borg"""
88,PICARD,"   Think of them as a single,   collective being. Any one Borg   is no more an individual than your   arm or your leg.","""I, Borg"""
89,BEVERLY,   How convenient.,"""I, Borg"""
90,PICARD,   Your point?,"""I, Borg"""
91,BEVERLY,"   When I look at my patient, I don't   see a collective consciousness...   I don't see a hive... I see a   living, breathing boy... who's   been hurt and who needs help.   And we're talking about sending   him back to his people as an   instrument of destruction.","""I, Borg"""
92,PICARD,"   It comes down to this: We are   faced with an enemy that is   determined to destroy us, and with   whom we have no hope of   negotiating peace. Unless that   changes, we are justified in doing   anything we can to survive.","""I, Borg"""
93,SECURITY GUARD,   Security to Captain.,"""I, Borg"""
94,PICARD,"   Picard, here.","""I, Borg"""
95,SECURITY GUARD,"   The Borg has regained   consciousness, sir.","""I, Borg"""
96,PICARD,   Acknowledged.       We will proceed as planned.,"""I, Borg"""
97,BEVERLY,   What's he doing?,"""I, Borg"""
98,PICARD,"   Trying to find an access terminal,   so he can interface with the   collective. He doesn't understand   that the signal has been cut off.","""I, Borg"""
99,GEORDI,       He's emitting a homing signal...   and a second subspace frequency...   but our damping field is blocking   both signals.,"""I, Borg"""
100,PICARD,   He's alone. For the first time   in his life he's being forced to   cope with his environment without   the resources of the Collective.,"""I, Borg"""
101,BEVERLY,   He must be hungry.,"""I, Borg"""
102,BEVERLY,   The Borg don't ingest food --   their implants can synthesize any   organic molecules their biological   tissues require. What they need   -- is energy.,"""I, Borg"""
103,PICARD,   Arrange to feed it.,"""I, Borg"""
104,GEORDI,"   Aye, sir.","""I, Borg"""
105,GEORDI,   I'll have to adapt a power conduit   and install it in there.,"""I, Borg"""
106,BEVERLY,   If I didn't know better... I'd   think he was scared.,"""I, Borg"""
107,GUINAN,   I don't think I like this sport.,"""I, Borg"""
108,PICARD,"   Last week when you scored two   touches on me, you liked it well   enough.","""I, Borg"""
109,PICARD,   Today your foil was dipping too   low... you kept letting me inside.,"""I, Borg"""
110,GUINAN,"   And if I hold it too high, you   lunge under it. Let's face it   -- you're just better at this than   I am.","""I, Borg"""
111,GUINAN,   I hear we have a guest on board.,"""I, Borg"""
112,PICARD,   Yes.,"""I, Borg"""
113,GUINAN,   Is that wise?,"""I, Borg"""
114,PICARD,   I'm not sure. I hope so.,"""I, Borg"""
115,GUINAN,"   I thought I understood you,   Picard. But I don't understand   this.","""I, Borg"""
116,PICARD,"   It was an errand of mercy... he   was injured, Doctor Crusher   decided for humanitarian reasons   to care for him --","""I, Borg"""
117,GUINAN,"   They'll be coming, you know that.   You, of all people, know that.","""I, Borg"""
118,PICARD,   Shall we go again?,"""I, Borg"""
