,character,quote,episode
0,DATA ,"   Second Officer's Personal Log:   Stardate 44390.1 Record entry   for transmission to Commander   Bruce Maddox, Cybernetics   Division, Daystrom Institute.   Dear Commander Maddox,...","""Data's Day"""
1,DATA ,"       In reference to your most recent   letter, I agree that your study   lacks sufficient primary source   information on my programming.   Therefore in response to your   request, this correspondence will   include a complete record of my   activities during a normal day,   focusing on my perceptions of   friendship.","""Data's Day"""
2,DATA,"   Good morning, Commander. You are   fifteen minutes early.","""Data's Day"""
3,RIKER,"   Well, it's a special day. I   thought the... father of the bride   would enjoy being relieved a   little early on the wedding day.","""Data's Day"""
4,DATA,"   Thank you, sir.","""Data's Day"""
5,RIKER,   Nervous?,"""Data's Day"""
6,DATA,"   I cannot become nervous. However,   I do sense a certain...   anticipation regarding my role   in the wedding.       All systems normal, sir. Sickbay   reported that Lieutenant Juarez   went into labor at zero four   hundred hours. We remain on   station awaiting the arrival of   the starship Zhukov and guest   quarters have been prepared for   Ambassador T'Pel.","""Data's Day"""
7,RIKER,   Very well. I have the Bridge.,"""Data's Day"""
8,DATA,"   Aye, sir.","""Data's Day"""
9,RIKER,       Begin day watch.,"""Data's Day"""
10,DATA ,"       Initially Commander Maddox, I   found it difficult to maintain   friendships since human emotions   are often puzzling to me.","""Data's Day"""
11,CUT TO:,,"""Data's Day"""
12,DATA ,"    (continuing over above     action)   Eventually, I developed a program   enabling me to predict human   emotional responses to specific   actions.","""Data's Day"""
13,KEIKO,   Come in.,"""Data's Day"""
14,DATA,   It is time for the wedding   rehearsal.,"""Data's Day"""
15,KEIKO,"       I know...       I've decided not to go through   with it, Data.","""Data's Day"""
16,DATA,   You do not wish to rehearse?,"""Data's Day"""
17,KEIKO,"   No, I'm... calling off the   wedding.","""Data's Day"""
18,DATA,   May I ask why?,"""Data's Day"""
19,KEIKO,   It's just the right thing to do.,"""Data's Day"""
20,DATA,   Have your feelings for Chief   O'Brien changed?,"""Data's Day"""
21,KEIKO,"       I'm supposed to be getting   married, Data. I should be   happy... but I'm not. I just feel   this weight pressing down on me.","""Data's Day"""
22,DATA,   Will cancelling the wedding make   you happy?,"""Data's Day"""
23,KEIKO,"   Yes.       He'll probably be just as relieved   as I am.       Data, you introduced us, you mean   a lot to both of us... I'd really   appreciate it if... you would tell   Miles for me.","""Data's Day"""
24,DATA,   If you wish.,"""Data's Day"""
25,CUT TO:,,"""Data's Day"""
26,DATA ,"   I have often heard my friend Chief   O'Brien say that above all else,   he wants to make Keiko happy.   Since cancelling the wedding will   make her happy, I must conclude   the Chief will be pleased at her   decision.","""Data's Day"""
27,DATA,   I have good news.,"""Data's Day"""
28,O'BRIEN,   Oh?,"""Data's Day"""
29,DATA,   Yes. Keiko has made a decision   designed to increase her   happiness.       She has cancelled the wedding.,"""Data's Day"""
30,O'BRIEN,"       She what?    (beat, then getting     angry)   Cancelled the wedding? Today?   Without even a word... of all the   childish, selfish... !","""Data's Day"""
31,GEORDI,"   Next time, maybe I should break   the... good news.","""Data's Day"""
32,DATA ,"   Commander Maddox, it would appear   that my program designed to   predict emotional responses   needs... adjustment.","""Data's Day"""
33,DATA ,   Personal Log: Supplemental. This   is the one thousand five hundred   fiftieth day since the Enterprise   was commissioned.,"""Data's Day"""
34,DATA ,"       Besides the arrival of Ambassador   T'Pel, other events occurring   today include four birthdays,   two personnel transfers, a   celebration of the Hindu Festival   of Lights, two chess tournaments,   one secondary school play, and   four promotions.","""Data's Day"""
35,DATA ,   Overall... an ordinary day.,"""Data's Day"""
36,TECHNICIAN,"   The Zhukov is ready for transport,   sir.","""Data's Day"""
37,DATA,   Energize.,"""Data's Day"""
38,DATA,"   Welcome aboard the Enterprise,   Ambassador.","""Data's Day"""
39,T'PEL,   I would meet with your Captain.,"""Data's Day"""
40,CUT TO:,,"""Data's Day"""
41,DATA ,"   Unlike my human friends, I am not   affected by feelings or emotional   considerations. In that sense,   I am closer to being Vulcan than   human, but I am not attracted to   Vulcan philosophy. Their devotion   to logic does have a certain   appeal in its simple purity...","""Data's Day"""
42,DATA ,"       ... but I find theirs to be a   somewhat... stark philosophy,   lacking beauty... and joy.","""Data's Day"""
43,PICARD,   Ambassador T'Pel...,"""Data's Day"""
44,T'PEL,       I come to serve.,"""Data's Day"""
45,PICARD,"   Your service honors us.       My first officer, Commander   William Riker.","""Data's Day"""
46,T'PEL,"    (to Riker. Polite, yet     curt)   Leave us, please.","""Data's Day"""
47,RIKER,       Charming woman.,"""Data's Day"""
48,DATA ,   The tone of Commander Riker's   voice makes me suspect that he   is not serious about finding   Ambassador T'Pel charming. My   experience suggests that in fact   he may mean the exact opposite   of what he says. This is a form   of expression I have not yet been   able to master.,"""Data's Day"""
49,CUT TO:,,"""Data's Day"""
50,VAL,    (looking at Geordi's     hair)   You don't need a haircut. You   were just in here last week.,"""Data's Day"""
51,GEORDI,"       Hey, I wouldn't be back here so   soon if you'd done it right the   first time...","""Data's Day"""
52,DATA ,       When I have difficulty   understanding human behavior I   often turn to Commander Geordi   La Forge. I consider him to be...   my best friend.,"""Data's Day"""
53,VAL,"   I know you want to be beautiful...   I'm just a barber, not a miracle   worker.","""Data's Day"""
54,GEORDI,"   Just try to keep my ears on   straight today, all right?","""Data's Day"""
55,DATA ,   Friendly insults and jibes...   another form of human speech   that I am attempting to master.,"""Data's Day"""
56,GEORDI,       Hi... here for a trim?,"""Data's Day"""
57,DATA,   My hair does not require   trimming... you peabrain.,"""Data's Day"""
58,GEORDI,   What?,"""Data's Day"""
59,DATA,   My hair...,"""Data's Day"""
60,GEORDI,   'Peabrain'?,"""Data's Day"""
61,DATA,   I am experimenting with friendly   insults and jibes. It was not   meant as a serious disparagement.,"""Data's Day"""
62,GEORDI,       Well... I wouldn't try it out on   the Captain.,"""Data's Day"""
63,DATA,"   Geordi, I am still confused about   Chief O'Brien's reaction this   morning.","""Data's Day"""
64,GEORDI,"   He was just surprised, Data. He   didn't mean to blow up like that.   He knows Keiko probably doesn't   want to call off the marriage.       She's just getting cold feet.","""Data's Day"""
65,DATA,   Cold feet... jitters... a nervous   reaction to an impending event   of great importance.,"""Data's Day"""
66,GEORDI,"   Right. Don't worry,   everything'll be fine. She'll   change her mind again.","""Data's Day"""
67,DATA,       She will?,"""Data's Day"""
68,GEORDI,   Absolutely.,"""Data's Day"""
69,DATA,   Then you believe the wedding will   still proceed?,"""Data's Day"""
70,GEORDI,"   Trust me, they'll get married...   so you better find a gift.","""Data's Day"""
71,CUT TO:,,"""Data's Day"""
72,DATA ,"       I find Lieutenant Worf to be what   is called a kindred spirit. We   were both orphans and were both   rescued by Starfleet officers.   In many ways, we are both still   outsiders in Human society. I   do not fully understand why, but   I find it... comforting to think   that I am not alone in that   regard.","""Data's Day"""
73,DATA,       Are you here to find a wedding   gift?,"""Data's Day"""
74,WORF,   Yes.,"""Data's Day"""
75,DATA,   I would appreciate your help in   selecting an appropriate item.,"""Data's Day"""
76,WORF,       Of course. I have attended human   weddings before.,"""Data's Day"""
77,DATA,   This is a traditional gift?,"""Data's Day"""
78,WORF,   My adoptive parents often give   these... things at family   weddings. A human custom.,"""Data's Day"""
79,DATA,   It was my understanding that the   item selected should reflect the   personality of whoever is giving   the gift.       This does not remind me of you.,"""Data's Day"""
80,DATA,   Have you ever been an actual   participant in a human wedding?,"""Data's Day"""
81,WORF,       No.,"""Data's Day"""
82,DATA,   You would not consider it to be   an honor?,"""Data's Day"""
83,WORF,"   An honor, perhaps. But human   bonding rituals involve a great   deal of talking, dancing, and   crying.","""Data's Day"""
84,DATA,       Dancing...,"""Data's Day"""
85,CUT TO:,,"""Data's Day"""
86,BEVERLY,   Continue to monitor the   contractions. I'd say she still   has a couple hours to go.,"""Data's Day"""
87,BEVERLY,       You're going to be just fine.,"""Data's Day"""
88,DATA ,       I am rarely in need of Doctor   Beverly Crusher's professional   services as my biomechanical   maintenance program  is   self-sufficient. But I often   observe as she practices medicine   on others and have learned a   great deal about the human   condition from her.,"""Data's Day"""
89,DATA,"   Doctor, may I ask a favor of you?","""Data's Day"""
90,BEVERLY,   Of course.,"""Data's Day"""
91,DATA,   Will you teach me how to dance?,"""Data's Day"""
92,BEVERLY,   What?,"""Data's Day"""
93,DATA,   I would like to learn how to   dance.,"""Data's Day"""
94,BEVERLY,   Why me?,"""Data's Day"""
95,DATA,"   It is in your service record.   'Awarded first prize in tap and   jazz competition, Saint Louis   Academy---","""Data's Day"""
96,BEVERLY,"       Okay, okay.","""Data's Day"""
97,DATA,       Have I said something to upset   you?,"""Data's Day"""
98,BEVERLY,   It's just... that was a long time   ago.       I'd rather not be known as... as   the dancing doctor. Again.,"""Data's Day"""
99,DATA,   Then your answer is no?,"""Data's Day"""
100,BEVERLY,       All right. But let's keep this   between us.,"""Data's Day"""
101,DATA,"   Of course, Doctor.","""Data's Day"""
102,PICARD,"   Commander Data, please report to   the Bridge.","""Data's Day"""
103,DATA,       Acknowledged.,"""Data's Day"""
104,CUT TO:,,"""Data's Day"""
105,PICARD,   Mister Data... I need a tactical   projection of possible future   Romulan deployments along the   Neutral Zone. Access all   Federation records on the subject   and then report to my Ready Room.,"""Data's Day"""
106,DATA,"   That is a very general request,   Captain. Is there a more specific   area you wish me to study?","""Data's Day"""
107,PICARD,   No.,"""Data's Day"""
108,PICARD,       Set course one-three-zero mark   two-four-six. Warp seven.,"""Data's Day"""
109,RIKER,"   That course will take us very   close to the Neutral Zone,   Captain.","""Data's Day"""
110,PICARD,   I'm aware of that. Proceed.,"""Data's Day"""
111,RIKER,   Lay in the course.,"""Data's Day"""
112,DATA ,"   It is fortunate that I am able   to perform my duties without   emotional distractions. If that   were not the case, a sudden course   correction toward the Neutral Zone   would make me very... nervous.","""Data's Day"""
113,DATA ,"   Personal Log: Supplemental.   Commander Maddox, there are still   many dynamics of social   interaction which I do not   understand.","""Data's Day"""
114,DATA ,    (continuing over above     action)   The belief among humans that a   captain must remain distant from   his crew is puzzling. Captain   Picard and I have worked together   closely for over three years...,"""Data's Day"""
115,PICARD,   Come.,"""Data's Day"""
116,DATA ,    (continuing over above     action)   ... and yet I cannot truthfully   refer to him as my friend. I find   that thought to be...   disappointing.,"""Data's Day"""
117,PICARD,"   Based on your analysis, what is   the current Romulan strategy   behind the deployment of their   ships in this sector?","""Data's Day"""
118,DATA,   Their ships are deployed to   support a policy of confrontation   designed to test Federation   defenses along the Neutral Zone.,"""Data's Day"""
119,PICARD,   Do you predict any change in the   near future?,"""Data's Day"""
120,DATA,   I project a ninety percent   probability that they will   continue to pursue this policy.,"""Data's Day"""
121,PICARD,   Are there any indications of a   more conciliatory attitude on   their part?,"""Data's Day"""
122,DATA,"       No, sir.","""Data's Day"""
123,T'PEL,"   Caution is clearly called for,   Captain. However, the mission   must proceed as planned.","""Data's Day"""
124,PICARD,"   Starfleet Command agrees with you,   Ambassador. But I would feel   better if you would consent to   an escort or...","""Data's Day"""
125,PICARD,"       Thank you, Mister Data.","""Data's Day"""
126,CUT TO:,,"""Data's Day"""
127,DATA,   Feline supplement seventy-four.,"""Data's Day"""
128,DATA,"   Computer, run fluidic sensor   diagnostic.","""Data's Day"""
129,COMPUTER,   Diagnostic complete. All systems   functioning within normal   parameters.,"""Data's Day"""
130,DATA,   Come in.,"""Data's Day"""
131,O'BRIEN,"   Am I intruding, Commander?","""Data's Day"""
132,DATA,   No.       Would you care to sit down?,"""Data's Day"""
133,DATA ,"       When one of my friends is   distraught, I know that I should   attempt to make him more   comfortable.","""Data's Day"""
134,DATA,"   May I offer you some refreshment,   chief?","""Data's Day"""
135,O'BRIEN,"   No, thank you, sir. First of   all... I'd like to apologize for   this morning in Ten Forward...","""Data's Day"""
136,DATA,   There is no need to apologize.   I was not offended.       Perhaps you would like a pillow   or a more comfortable chair to   sit upon.,"""Data's Day"""
137,O'BRIEN,"   Uh... no sir. Thank you, sir.","""Data's Day"""
138,DATA,   Would you care to listen to music?   Brahms? Aurelia? Mexler?,"""Data's Day"""
139,O'BRIEN,"   No, sir... really... I'm fine.   I came here to... to ask for your   help.       It's about Keiko... I'd like you   to talk to her... convince her   to go through with the wedding.","""Data's Day"""
140,DATA,   Would Counselor Troi not be a more   appropriate choice to speak with   Keiko?,"""Data's Day"""
141,O'BRIEN,   She already has... it didn't   help.       You've known her longer than I   have... I just thought she might   listen to you.,"""Data's Day"""
142,O'BRIEN,       She won't even talk to me...,"""Data's Day"""
143,DATA,   I do not know what to say to her.,"""Data's Day"""
144,O'BRIEN,   Just talk with her... try to make   her see reason. She's going off   half-cocked and not thinking this   through. You've worked with her   for a long time... she respects   your opinion.,"""Data's Day"""
145,DATA,   Perhaps she has not fully analyzed   her decision.,"""Data's Day"""
146,O'BRIEN,"       Thank you, sir. I won't forget   this.","""Data's Day"""
147,DATA ,"       Commander Maddox, I noted that   Keiko was quite calm and rational   when she informed me of her   decision this morning.","""Data's Day"""
148,CUT TO:,,"""Data's Day"""
149,DATA ,"       Therefore, I can predict that   she will respond to an objective   analysis of the situation based   on the available facts.","""Data's Day"""
150,DATA ,    (continuing over above     action)   It is fortunate that she has not   let emotional considerations cloud   her judgement. It should make   my task much simpler.,"""Data's Day"""
151,KEIKO,   Hi.,"""Data's Day"""
152,DATA,   Am I disturbing you?,"""Data's Day"""
