,character,quote,episode
0,PICARD ,"   Captain's Log, Stardate 46071.6.   We have been called to the aid   of a transport ship, which has   been attacked near Rekag-Seronia.   Hostilities between the two factions   on that planet have intensified   recently, threatening an important   Federation shipping route.","""Man of the People"""
1,DATA,"   Captain, sensors have located the   transport ship. Two Rekag battle   cruisers are flanking it.","""Man of the People"""
2,RIKER,   Red alert. Shields up.,"""Man of the People"""
3,WORF,   Phasers on line. Photon torpedoes   armed and ready.,"""Man of the People"""
4,PICARD,   Is the transport still under   attack?,"""Man of the People"""
5,DATA,   The cruisers' weapons are powered   up... but...,"""Man of the People"""
6,DATA,"   Sir, the Rekag ships are turning   and heading out of sensor range.","""Man of the People"""
7,RIKER,   They don't want to take on the   Enterprise...,"""Man of the People"""
8,DATA,"   We are within visual range of the   transport, Sir.","""Man of the People"""
9,PICARD,   On screen.,"""Man of the People"""
10,DATA,   Sensors indicate damage to the   Dorian's sub space emitters.   Audio communication only.,"""Man of the People"""
11,PICARD,"   Open a channel, Mister Worf.","""Man of the People"""
12,WORF,"   Aye, sir.","""Man of the People"""
13,PICARD,   This is Captain Jean-Luc Picard   of the Federation starship   Enterprise.,"""Man of the People"""
14,TALMADGE,   Captain Talmadge of the Dorian.   Glad you're here... we took some   shield damage from the Rekag   ships... but we couldn't have held   out if they attacked again.,"""Man of the People"""
15,PICARD,   Do you have injuries? Can we   assist you in any way?,"""Man of the People"""
16,TALMADGE,   No injuries... but I'd like   permission to transport a couple   of guests to your ship.,"""Man of the People"""
17,PICARD,   Of course...,"""Man of the People"""
18,TALMADGE,   We're conveying a mediator to   Seronia. I think he's the reason   the Rekags fired on us...,"""Man of the People"""
19,TALMADGE,   ...travelling... negotiations...,"""Man of the People"""
20,PICARD,"   Captain, I'm losing you. Go ahead   and beam your passengers on   board...","""Man of the People"""
21,PICARD,"   Counselor, will you see to our   guests' needs and then escort them   to my Ready Room.","""Man of the People"""
22,TROI,"   Yes, Captain.","""Man of the People"""
23,TROI,   I'm Counselor Deanna Troi.,"""Man of the People"""
24,ALKAR,"   Ambassador Ves Alkar...       ... and my mother, Sev Maylor.   Counselor, it's imperative that   I speak with your Captain...","""Man of the People"""
25,MAYLOR,   You think he's attracted to you...   but he isn't. You offer him   nothing...,"""Man of the People"""
26,ALKAR,   She hasn't been well. Could she   be taken to quarters?,"""Man of the People"""
27,TROI,   Of course.       Chief...       I'll take you to meet Captain   Picard...,"""Man of the People"""
28,ALKAR,   Go with him...,"""Man of the People"""
29,MAYLOR,   Don't pursue him. I won't have   it... I'll stop you...,"""Man of the People"""
30,ALKAR,"       I am grateful for the   Federation's offer to escort me,   but if I arrive at Rekag-Seronia   on the Enterprise, the armed   Flagship of Starfleet, my mission   as a Peace negotiator will be   compromised. There must be a   Federation transport ship in the   area that could take me there.","""Man of the People"""
31,PICARD,"   With all due respect, Admiral   -- to put the Ambassador on   another unarmed transport will   only invite a second assault.","""Man of the People"""
32,ALKAR,"   I believe the attack on us was   an isolated incident, nothing   more...","""Man of the People"""
33,ADMIRAL,   Ambassador Alkar... the   Rekag-Seronia dispute has   threatened Federation ships for   many months. We are grateful that   you are willing to undertake this   mission... and you have our full   support.,"""Man of the People"""
34,ALKAR,"   Thank you, sir.","""Man of the People"""
35,ADMIRAL,"   However, we also recognize that   safety is an issue -- not just   yours, but the crew that escorts   you. To send you on an unarmed   transport puts everyone at risk.   I think it's best if you proceed to   Rekag-Seronia aboard the   Enterprise.","""Man of the People"""
36,ALKAR,   Then I have no choice.,"""Man of the People"""
37,ADMIRAL,"   Once you get to Rekag-Seronia,   you may conduct your negotiations   as you see fit. Until then --   you'll be in good hands with   Captain Picard.","""Man of the People"""
38,ALKAR,   ... I understand.,"""Man of the People"""
39,ADMIRAL SIMONS,"   Good luck, and a successful   journey.","""Man of the People"""
40,PICARD,   Picard to Riker.,"""Man of the People"""
41,RIKER,"   Yes, sir?","""Man of the People"""
42,PICARD,   Set a course for Seronia.,"""Man of the People"""
43,WORF,   That is all for today. There will   be another class tomorrow at   oh-seven-hundred hours.,"""Man of the People"""
44,TROI,   The skills are demanding...   You're very disciplined.,"""Man of the People"""
45,ALKAR,   I believe in a strong connection   between body and mind.       You obviously share that   conviction.,"""Man of the People"""
46,TROI,   Yes... Only sometimes I have a   problem getting my body to conform   to my mind's wishes...,"""Man of the People"""
47,TROI,   I would imagine that your   self-discipline helps you in your   work...,"""Man of the People"""
48,ALKAR,   I don't know about that... I think   maybe my biggest asset is   patience.,"""Man of the People"""
49,ALKAR,"   I let everybody else talk until   they're exhausted... then when   I start, they're too tired to   argue.","""Man of the People"""
50,TROI,   You're going to need all your   patience at Seronia... I can't   imagine how you'll get the two   sides talking to each other...,"""Man of the People"""
51,ALKAR,   Neither can I. I won't know that   until I get there. I tend to feel   my way through a situation...,"""Man of the People"""
52,ALKAR,"   Deck nine. If I were empathic,   like you... I'd have a real   advantage.","""Man of the People"""
53,TROI,   I thought Lumerians were   empathic...,"""Man of the People"""
54,ALKAR,"   Only with each other, not other   species. So... I don't have any   idea what you might be feeling   just now...","""Man of the People"""
55,TROI,   Curiosity...       What I sense from you is very   unusual. Serenity... calmness...   tranquility... you seem to embody   the very qualities you hope to   draw out in others.,"""Man of the People"""
56,ALKAR,"   Tell me, Counselor... have you   ever been involved in diplomatic   negotiations?","""Man of the People"""
57,TROI,   Several times... with Captain   Picard. There've been instances   when having an empath along has   been helpful.,"""Man of the People"""
58,ALKAR,   I'm sure.       I could use some of that help.   Would you come with me when we   reach Seronia?,"""Man of the People"""
59,TROI,"   If the Captain authorizes it, of   course I will.","""Man of the People"""
60,ALKAR,   I hope to see you again.,"""Man of the People"""
61,MAYLOR,   You're late.,"""Man of the People"""
62,ALKAR,"   Mother, I told you I would be gone   for over an hour...","""Man of the People"""
63,MAYLOR,   You're late because of her.,"""Man of the People"""
64,MAYLOR,   Have you mated with him yet?,"""Man of the People"""
65,TROI,   What --?,"""Man of the People"""
66,MAYLOR,"   That's what you want, isn't it?","""Man of the People"""
67,ALKAR,"   Mother, come in, please --","""Man of the People"""
68,MAYLOR,   I can always tell. The ones with   a certain look in their eye...,"""Man of the People"""
69,TROI,   I'd better go...,"""Man of the People"""
70,MAYLOR,"   I'll tell you this... if you do,   you will regret it for the rest   of your life...","""Man of the People"""
71,ALKAR,"   Come on, Mother... you need to   lie down...","""Man of the People"""
72,ALKAR,   I'll see you later...,"""Man of the People"""
73,TROI,   Come in.,"""Man of the People"""
74,RIKER,   Hi. It's that time again...,"""Man of the People"""
75,RIKER,   The dreaded crew evaluation   reports.,"""Man of the People"""
76,TROI,   Does it have to be today?,"""Man of the People"""
77,RIKER,   It won't get any easier tomorrow.,"""Man of the People"""
78,TROI,   It might...,"""Man of the People"""
79,RIKER,       What is it?,"""Man of the People"""
80,TROI,"   I've just had a very -- disturbing   encounter with Alkar's mother.    (beat, as her feelings     emerge)   Wil, she frightens me.     ","""Man of the People"""
81,,,"""Man of the People"""
82,TROI ,   The feelings I sense from her   are -- malevolent. They're out of   proportion -- evil.,"""Man of the People"""
83,RIKER,   I understand she's been ill...   and she's very old -- probably   senile.       Listen... we might all end up like   that some day.,"""Man of the People"""
84,TROI,"   You're right. Okay, let's get   through these evaluations. When   they're done I'm going to reward   myself with two pieces of fudge.","""Man of the People"""
85,RIKER,"   First, molecular biology.   Lieutenant Jeffrey Fratis...","""Man of the People"""
86,RIKER,   She's just a bitter old woman...   don't give her the power to worry   you.,"""Man of the People"""
87,TROI,"   You're right. Okay, let's get   through these evaluations. When   they're done I'm going to reward   myself with a chocolate brownie.","""Man of the People"""
88,RIKER,"   Next, Physical Sciences.   Lieutenant Jeffrey Fratis...","""Man of the People"""
89,WORF,   Worf to Commander Riker...,"""Man of the People"""
90,RIKER,   Go ahead.,"""Man of the People"""
91,WORF,   Can you report to Ambassador   Alkar's quarters? There's an   emergency.,"""Man of the People"""
92,BEVERLY,       Forty cc's inoprovaline.,"""Man of the People"""
93,RIKER,"   I'm sorry, Ambassador.","""Man of the People"""
94,ALKAR,   She was ill... I should never have   brought her along...,"""Man of the People"""
95,TROI,   Alkar...,"""Man of the People"""
96,ALKAR,   She was ninety-three... she'd   lived a long life... I should be   grateful for that.,"""Man of the People"""
97,ALKAR,   Counselor... there's a funeral   meditation... part of our   rituals... as an empath you're   the only person on board who could   perform it with me...,"""Man of the People"""
98,TROI,   I'd be glad to help...,"""Man of the People"""
99,ALKAR,   Captain...,"""Man of the People"""
100,PICARD,   I wanted to express my   condolences. This must be a   difficult time for you.,"""Man of the People"""
101,ALKAR,   My mother and I were very close.   It will be hard to adjust to life   without her.,"""Man of the People"""
102,PICARD,   Do you want to consider postponing   your visit to Bironi? I'm sure   everyone would understand...,"""Man of the People"""
103,ALKAR,"   I'm no less committed to my task   than I was before my mother died,   Captain.","""Man of the People"""
104,PICARD,   I was only thinking of your best   interests...,"""Man of the People"""
105,ALKAR,   They will be served if I can bring   the Bironi and the Rekags   together. For a lasting peace.,"""Man of the People"""
106,WORF,   Worf to Captain Picard.,"""Man of the People"""
107,PICARD,"   Go ahead, Mister Worf.","""Man of the People"""
108,WORF,   Sensors have picked up a Bironi   warship... in a parallel course   just inside sensor range.,"""Man of the People"""
109,PICARD,"   Yellow alert, Mister Worf.","""Man of the People"""
110,WORF,"   Aye, sir.","""Man of the People"""
111,ALKAR,   You communicate distrust... you   announce your warlike intentions.   It's not the way to enter into   peace negotiations.,"""Man of the People"""
112,PICARD,   I must take the necessary   precautions. One ship you were   on has already been attacked.       And I think you'd agree that a   dead man cannot be a particularly   effective negotiator.,"""Man of the People"""
