,character,quote,episode
0,PICARD ,"   Captain's Log, Stardate 47254.1.   A delegation of the Cairn have   just come on board. This   telepathic species has no concept   of spoken language, and is being   instructed in its use by... an   old friend.","""Dark Page"""
1,LWAXANA,"   I don't know what they'd have done   without me. First, I had to learn   how they communicate. It was an   absolutely exhausting process...","""Dark Page"""
2,PICARD,   It must have been.,"""Dark Page"""
3,LWAXANA,"   Quite different from Betazoid   telepathy. We transmit words...   with the Cairn...    (shakes her head at the     enormity of it)   ... it's images. A flood of them,   all at the same time. It's   overwhelming...","""Dark Page"""
4,PICARD,   I can imagine...,"""Dark Page"""
5,LWAXANA,   It's actually a very efficient way   of communicating. If two Cairn   were having this conversation it   would have been over minutes ago.,"""Dark Page"""
6,PICARD,   Really?,"""Dark Page"""
7,LWAXANA,   But of course they realize they'll   want to communicate verbally if   they join the Federation.       Do me a favor... introduce   yourself to one of them and engage   him in conversation -- they need   the practice.,"""Dark Page"""
8,PICARD,   I'd be happy to.,"""Dark Page"""
9,GEORDI,   ... it's called a VISOR. It lets   me see things.,"""Dark Page"""
10,HEDRIL,   Like my vocal enhancer.       It lets me make sounds.,"""Dark Page"""
11,LWAXANA,   I see you've met my star pupil.    (puts her arm around     Hedril)   Hedril has picked up spoken   language much faster than the   others.,"""Dark Page"""
12,DATA,   It is often the case that children   learn languages more easily than   adults.,"""Dark Page"""
13,LWAXANA,   Deanna was quite good at languages   when she was little.       Where is Deanna?,"""Dark Page"""
14,GEORDI,       Should be here someplace...,"""Dark Page"""
15,LWAXANA,"   Hedril, darling...","""Dark Page"""
16,HEDRIL,   What?,"""Dark Page"""
17,LWAXANA,"   Go find your father, dear. I want   to talk to him.","""Dark Page"""
18,DATA,"   Mrs. Troi, are you all right?","""Dark Page"""
19,LWAXANA,"   Yes... yes... just a little tired.   This constant telepathy with the   Cairn...       I'm fine, really.","""Dark Page"""
20,LWAXANA,"   Aren't you going to mingle, Mister   Woof?","""Dark Page"""
21,WORF,   I do not care for telepaths. They   make me... uneasy.,"""Dark Page"""
22,LWAXANA,   Don't worry -- The Cairn couldn't   read your thoughts even if they   wanted to. Your brain isn't   sophisticated enough.,"""Dark Page"""
23,LWAXANA,"       Neither is yours, dear. They can   only communicate with other   telepaths.       Has either of you seen Deanna?","""Dark Page"""
24,RIKER,"       She was working, but she said   she'd be here -- ah -- speak of   the devil.","""Dark Page"""
25,TROI,   Sorry I'm late. I lost track of   the time.,"""Dark Page"""
26,LWAXANA,"   Deanna, dear, come with me. I   want you to meet the senior   diplomat of the Cairn delegation.","""Dark Page"""
27,LWAXANA,   Maques...       This is the beautiful daughter   I've been telling you about --   Deanna.,"""Dark Page"""
28,MAQUES,   Pleased to...,"""Dark Page"""
29,MAQUES,   Hello.,"""Dark Page"""
30,TROI,   Hello.,"""Dark Page"""
31,TROI,       Pleased to meet you.,"""Dark Page"""
32,MAQUES,"   Yes, that is it. Pleased to meet   you, Deanna.","""Dark Page"""
33,LWAXANA,"   Well, I'll just let you young   people chat...","""Dark Page"""
34,TROI,"   Well, Maques... what do you think   of the Enterprise?","""Dark Page"""
35,MAQUES,"   It is... --       -- beautiful... comfortable, also.","""Dark Page"""
36,TROI,   I'm glad you think so.,"""Dark Page"""
37,MAQUES,   There is another word... a word   that describes it... but... I   cannot remember.,"""Dark Page"""
38,TROI,   You've learned a great deal in a   very short time. I'm sure it   won't be long before your words   will do justice to your thoughts.,"""Dark Page"""
39,MAQUES,   Your Mother has... told me... of   your need.,"""Dark Page"""
40,TROI,   Need?,"""Dark Page"""
41,MAQUES,   A moment...       Husband. You need a husband.,"""Dark Page"""
42,MAQUES,       I need a wife.,"""Dark Page"""
43,LWAXANA ,   Deanna!,"""Dark Page"""
44,LWAXANA,   Good morning...       So what did you think of Maques?,"""Dark Page"""
45,TROI,"   Why did you do that, Mother? You   embarrassed both of us.","""Dark Page"""
46,LWAXANA,"       He's really very sweet. And   lonely. Poor man, a widower,   raising a child alone.","""Dark Page"""
47,TROI,"   Please, Mother... don't start.","""Dark Page"""
48,LWAXANA,   I just think it's time for you to   settle down. If your Father were   still alive I'm sure he'd say the   same thing.,"""Dark Page"""
49,LWAXANA ,   But you'll do exactly what you   want...,"""Dark Page"""
50,LWAXANA ,       Just like always...,"""Dark Page"""
51,TROI,"   Stop it, mother.","""Dark Page"""
52,TROI,       Are you coming?,"""Dark Page"""
53,TROI,   What's wrong... ?,"""Dark Page"""
54,LWAXANA,   You're so precious to me. You're   all I've got. If something   happened to you I don't know what   I'd do...,"""Dark Page"""
55,TROI,   Nothing's going to happen to me...,"""Dark Page"""
56,LWAXANA,   You'd better go...,"""Dark Page"""
57,TROI,   My first appointment isn't for a   few minutes... why don't we talk   for a while?,"""Dark Page"""
58,LWAXANA,   I'm fine... I'm just tired from   working with the Cairn and it's   making me emotional.,"""Dark Page"""
59,TROI,   Are you sure?,"""Dark Page"""
60,LWAXANA,   Go on... I'll see you later...,"""Dark Page"""
61,LWAXANA,"    (continuing, shooing her     away)   Go on.","""Dark Page"""
62,TROI,   Maques...,"""Dark Page"""
63,MAQUES,   I wanted to... apologize... for   yesterday.,"""Dark Page"""
64,TROI,   You don't have to --,"""Dark Page"""
65,MAQUES,   My words... they were... confused.,"""Dark Page"""
66,TROI,   It wasn't your fault. My mother   misled you.,"""Dark Page"""
67,MAQUES,   Not in everything... she has an   image of you... in her mind --       -- she shared it with me...,"""Dark Page"""
