,character,quote,episode
0,PICARD,"   Time, Mister Data?","""The Next Phase"""
1,DATA,   We will be within transporter   range in three minutes twenty-one   seconds.,"""The Next Phase"""
2,MCDOWELL,       I've finally established audio   contact with the Romulan ship.,"""The Next Phase"""
3,ROMULAN COM,       ... main power failing... no way   to... any ship...,"""The Next Phase"""
4,PICARD,"       Romulan ship, this is the   Enterprise. We are en route to   your position.","""The Next Phase"""
5,ROMULAN COM,       ... Enterprise... critical that   you... core breach imminent...,"""The Next Phase"""
6,PICARD,   Repeat your last transmission.,"""The Next Phase"""
7,MCDOWELL,"   Sorry, Captain. They've stopped   transmitting.","""The Next Phase"""
8,PICARD,       Bridge to Commander Riker.,"""The Next Phase"""
9,RIKER,       Riker here.,"""The Next Phase"""
10,PICARD,   Number One... transport to the   Romulan vessel as soon as we're   in range.,"""The Next Phase"""
11,RIKER,"   Aye, sir.       No weapons. We don't want them   to think they're under attack.","""The Next Phase"""
12,RO,       This is not a bright idea.,"""The Next Phase"""
13,RIKER,"       I beg your pardon, Ensign. I   didn't quite catch that.","""The Next Phase"""
14,RO,"       Nothing, sir.","""The Next Phase"""
15,RIKER,   We're from the Federation Starship   Enterprise. We received your   distress call.,"""The Next Phase"""
16,MIROK,   The Enterprise... ?,"""The Next Phase"""
17,RIKER,   That's right. Your message said   you'd suffered a failure in your   engine core.,"""The Next Phase"""
18,MIROK,   Yes.,"""The Next Phase"""
19,GEORDI,       Commander?,"""The Next Phase"""
20,GEORDI,"       It's a pretty strange set-up, but   I think the graviton field   generator has completely   depolarized. We can't fix it,   it has to be replaced.","""The Next Phase"""
21,RIKER,       Where are your replicators?,"""The Next Phase"""
22,VAREL,   They are off-line.,"""The Next Phase"""
23,RIKER,   Who's in charge here?,"""The Next Phase"""
24,MIROK,   The captain is dead. I'm... the   science officer. Mirok.,"""The Next Phase"""
25,RIKER,       We'd like to take the generator   back to the Enterprise for   replication.,"""The Next Phase"""
26,MIROK,       All right.,"""The Next Phase"""
27,RIKER,"   Geordi, you and Ro.","""The Next Phase"""
28,GEORDI,"       La Forge to Brossmer. Two people,   one piece of equipment to beam   aboard.","""The Next Phase"""
29,BROSSMER,"   Aye, sir.","""The Next Phase"""
30,BROSSMER,"       What the hell...       Engineering, I need more power   to the primary energizing coil.","""The Next Phase"""
31,BROSSMER,   Brossmer to Commander Riker. I'm   losing them -- I have to abort.   They should be returning to your   coordinates.,"""The Next Phase"""
32,INTERCUT:,,"""The Next Phase"""
33,RIKER,"       Chief, they're not here. Do you   have them?","""The Next Phase"""
34,BROSSMER,"   No, sir.","""The Next Phase"""
35,RIKER,   Where are they?,"""The Next Phase"""
36,BROSSMER,"       I can't locate their patterns.       We've lost them, sir. They're   gone.","""The Next Phase"""
37,BROSSMER,"   I'm sorry, Captain. But there's   just nothing left to retrieve.","""The Next Phase"""
38,PICARD,   Begin a level one diagnostic.   All transporter systems to remain   off-line until further notice.       Could they have materialized   somewhere else?,"""The Next Phase"""
39,DATA,"       Negative, Captain. Sensors are   unable to find them within   transporter range.","""The Next Phase"""
40,PICARD,       Counselor?,"""The Next Phase"""
41,RIKER,   Riker to Enterprise.,"""The Next Phase"""
42,PICARD,"   Go ahead, Number One.","""The Next Phase"""
43,RIKER,"   Captain, we're still looking at   a core breach unless we can   fashion a new graviton generator.   I need...       I need replacement personnel, sir.","""The Next Phase"""
44,PICARD,"   Mister Data, you may continue your   diagnostic of the transporter   system later. Take a shuttlecraft   and two more engineers to the   Romulan ship.","""The Next Phase"""
45,DATA,"       Aye, sir.","""The Next Phase"""
46,PICARD,"       Mister McDowell, alert the main   shuttlebay to have all available   ships and pilots standing by in   case we need them.","""The Next Phase"""
47,MCDOWELL,"   Aye, sir.","""The Next Phase"""
48,PICARD,       Lay in a course to take us away   from the Romulan ship at Warp One   in case it explodes.,"""The Next Phase"""
49,MIROK,       Pressure in the containment   chamber has increased fifteen   melakols in the last two minutes.,"""The Next Phase"""
50,RIKER,       What can we do to stop the   overload?,"""The Next Phase"""
51,MIROK,       Most of the conduits were damaged   in the explosion. I can't even   access the central computer.,"""The Next Phase"""
52,WORF,       Emergency bulkheads have sealed   this section from the rest of the   ship. There is no way to gain   access to the bridge or other   control centers.,"""The Next Phase"""
53,RIKER,   Survivors?,"""The Next Phase"""
54,WORF,   Readings indicate at least   seventy-three Romulans are still   alive.,"""The Next Phase"""
55,VAREL,       Seventy-three...,"""The Next Phase"""
56,MIROK,   The pressure has jumped two   hundred melakols!,"""The Next Phase"""
57,VAREL,   I've lost control of the   containment chamber!,"""The Next Phase"""
58,MIROK,       It's going to implode...,"""The Next Phase"""
59,RIKER,   We'll have to dump the entire   engine core. Do you have an   auto-eject system?,"""The Next Phase"""
60,MIROK,"   Yes, but it's not functioning.   I'll have to do it manually.","""The Next Phase"""
61,RIKER,"   Worf, you two seal the chamber.","""The Next Phase"""
62,VAREL,       Implosion will occur in one minute   five seconds...,"""The Next Phase"""
63,RIKER,       Riker to Enterprise. We're   preparing to jettison the engine   core. We'll need you to extend   shields once it clears the hull.,"""The Next Phase"""
64,PICARD,"   Understood, Number One. We'll   stand by for your signal.","""The Next Phase"""
65,WORF,   Commander!,"""The Next Phase"""
66,RIKER,"    (as he pulls on beam,     to Varel)   Time?","""The Next Phase"""
67,VAREL,   Thirty seconds...,"""The Next Phase"""
68,MIROK,   Ready!,"""The Next Phase"""
69,RIKER,       Stay there! Eject the chamber   on my order!,"""The Next Phase"""
70,DATA,"       Excuse me, sir.","""The Next Phase"""
71,RIKER,       Now!,"""The Next Phase"""
72,RIKER,"       Enterprise, extend shields!","""The Next Phase"""
73,RIKER,       Well... we're still here.,"""The Next Phase"""
